122805, 574, 4020, 987, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
122844, 565, 4086, 946, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
122879, 559, 4005, 906, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
122915, 564, 3946, 924, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
122950, 565, 3918, 981, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
122986, 570, 3968, 888, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
123021, 564, 4030, 857, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
123057, 568, 3955, 888, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
123092, 535, 3904, 830, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
123128, 552, 3923, 844, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
123163, 571, 3941, 832, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
123199, 570, 4044, 863, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
123235, 567, 3978, 881, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
123275, 557, 4001, 852, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
123316, 548, 3956, 872, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
123356, 529, 3983, 898, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
123397, 533, 4029, 896, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
123437, 545, 3985, 901, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
123478, 537, 3982, 891, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
123518, 570, 3980, 921, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
123559, 535, 3955, 916, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
123599, 545, 3961, 914, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
123640, 534, 3994, 883, 83, d3a5afeb-a77e-465b-b7b6-d8a24bea8de4, , berdiri, bersedekap, , 
