198851, -84, 3959, 665, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
198893, -117, 4013, 631, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
198934, -79, 4044, 488, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
198975, 33, 4137, 469, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
199017, 63, 4113, 459, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
199058, 51, 4102, 448, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
199099, -17, 4114, 494, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
199141, -83, 4134, 451, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
199182, -71, 4161, 366, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
199224, -88, 4155, 384, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
199259, -81, 4118, 368, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
199294, -40, 4082, 367, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
199329, -55, 4032, 370, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
199364, -72, 4087, 364, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
199399, -90, 4103, 381, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
199434, -121, 4133, 370, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
199469, -148, 4082, 352, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
199504, -166, 4043, 368, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
199539, -124, 4084, 344, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
199575, -92, 4086, 319, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
199615, -51, 4091, 298, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
199655, -66, 4110, 411, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
199695, -62, 4110, 360, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
199735, -63, 4100, 336, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
199776, -65, 4108, 356, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
199816, -65, 4079, 359, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
199856, -99, 4109, 379, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
199896, -70, 4105, 336, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
199936, -84, 4097, 331, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
199977, -81, 4090, 343, 78, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
200012, -74, 4106, 340, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
200048, -86, 4082, 356, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
200084, -94, 4112, 352, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
200119, -82, 4070, 360, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
200155, -100, 4090, 393, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
200191, -87, 4058, 350, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
200227, -104, 4058, 400, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
200262, -131, 4094, 395, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
200298, -110, 4102, 395, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
200334, -103, 4082, 375, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
200370, -80, 4080, 390, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
200410, -111, 4070, 389, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
200451, -108, 4099, 427, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
200491, -143, 4085, 417, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
200532, -138, 4043, 419, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
200573, -115, 4085, 412, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
200613, -117, 4084, 394, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
200654, -124, 4068, 433, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
200694, -133, 4086, 455, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
200735, -141, 4097, 400, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
200776, -126, 4062, 379, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
200815, -139, 4055, 425, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
200855, -154, 4108, 424, 77, 723b765a-9fe9-47cb-a9bf-ca7ff3eb2fea, , berdiri, bersedekap, , 
