61448, -713, 3871, -1243, 64, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
61489, -760, 3859, -1206, 64, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
61527, -713, 3817, -1160, 64, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
61565, -715, 3835, -1207, 64, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
61603, -742, 3736, -1158, 64, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
61641, -716, 3804, -1161, 64, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
61679, -734, 3840, -1183, 64, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
61717, -737, 3818, -1133, 64, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
61755, -786, 3852, -1137, 64, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
61793, -811, 3837, -1190, 64, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
61831, -809, 3867, -1127, 64, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
61869, -751, 3862, -1183, 64, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
61908, -767, 3925, -1169, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
61947, -813, 3903, -1155, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
61986, -807, 3826, -1157, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
62025, -803, 3858, -1147, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
62064, -789, 3799, -1166, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
62103, -823, 3831, -1100, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
62142, -796, 3872, -1136, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
62181, -830, 3850, -1144, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
62220, -823, 3796, -1153, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
62259, -819, 3826, -1117, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
62299, -787, 3819, -1160, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
62335, -796, 3836, -1159, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
62372, -799, 3836, -1149, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
62408, -819, 3877, -1123, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
62445, -767, 3799, -1201, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
62482, -788, 3905, -1161, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
62518, -795, 3880, -1218, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
62555, -792, 3829, -1197, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
62591, -774, 3852, -1212, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
62628, -803, 3833, -1189, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
62665, -823, 3836, -1187, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
62704, -792, 3849, -1193, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
62743, -791, 3799, -1177, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
62782, -775, 3807, -1200, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
62821, -773, 3852, -1210, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
62860, -783, 3825, -1219, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
62899, -789, 3822, -1191, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
62938, -802, 3813, -1234, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
62977, -820, 3847, -1237, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
63016, -813, 3802, -1220, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
63055, -812, 3798, -1210, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
63094, -804, 3824, -1216, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
63130, -803, 3834, -1215, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
63167, -787, 3860, -1230, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
63204, -780, 3840, -1231, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
63241, -760, 3803, -1252, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
63278, -784, 3841, -1205, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
63315, -788, 3783, -1273, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
63352, -806, 3878, -1230, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
63389, -798, 3812, -1277, 65, 3b2e6c39-7acb-4820-9b68-23d784efa434, , berdiri, bersedekap, , 
