14108, -978, 3823, -1451, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
14153, -873, 3577, -1355, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
14186, -896, 3599, -1330, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
14220, -917, 3681, -1372, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
14253, -1000, 3739, -1381, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
14287, -1024, 3804, -1401, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
14321, -1024, 3735, -1442, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
14354, -1016, 3764, -1437, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
14388, -991, 3739, -1465, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
14421, -981, 3672, -1432, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
14455, -963, 3729, -1413, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
14489, -967, 3695, -1417, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
14526, -1043, 3696, -1385, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
14564, -989, 3707, -1412, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
14601, -995, 3635, -1365, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
14639, -978, 3676, -1464, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
14676, -965, 3751, -1397, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
14714, -1000, 3770, -1427, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
14751, -1001, 3747, -1365, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
14789, -1068, 3663, -1311, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
14826, -1061, 3816, -1364, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
14864, -1054, 3700, -1408, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
14902, -1058, 3685, -1346, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
14943, -1032, 3649, -1347, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
14985, -1040, 3626, -1357, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
15026, -981, 3600, -1364, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
15068, -1001, 3600, -1349, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
15110, -1074, 3666, -1365, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
15151, -1093, 3662, -1324, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
15193, -1142, 3774, -1344, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
15234, -1135, 3703, -1357, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
15276, -1110, 3829, -1377, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
15318, -1074, 3680, -1352, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
15351, -1104, 3746, -1342, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
15385, -1136, 3681, -1350, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
15419, -1141, 3669, -1323, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
15452, -1153, 3737, -1284, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
15486, -1114, 3723, -1415, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
15520, -1113, 3674, -1308, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
15554, -1143, 3676, -1341, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
15587, -1141, 3707, -1359, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
15621, -1104, 3703, -1351, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
15655, -1135, 3683, -1328, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
15689, -1121, 3762, -1358, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
15737, -1125, 3711, -1329, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
15785, -1106, 3687, -1402, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
15833, -1157, 3703, -1279, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
15882, -1096, 3701, -1400, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
15930, -1105, 3722, -1330, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
15978, -1117, 3722, -1376, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
16027, -1104, 3676, -1388, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
16075, -1124, 3672, -1348, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
16123, -1103, 3755, -1379, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
16172, -1114, 3719, -1350, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
16205, -1113, 3641, -1304, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
16238, -1119, 3732, -1364, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
16271, -1121, 3709, -1345, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
16304, -1136, 3692, -1378, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
16337, -1090, 3686, -1369, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
16370, -1105, 3673, -1381, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
16403, -1104, 3655, -1352, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
16436, -1104, 3690, -1436, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
16469, -1145, 3652, -1294, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
16502, -1076, 3656, -1402, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
16537, -1099, 3701, -1333, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
16572, -1089, 3688, -1343, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
16607, -1112, 3739, -1415, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
16642, -1084, 3669, -1386, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
16677, -1090, 3752, -1409, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
16713, -1089, 3710, -1395, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
16748, -1094, 3679, -1348, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
16783, -1079, 3696, -1384, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
16818, -1099, 3722, -1383, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
16853, -1096, 3701, -1378, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
16889, -1094, 3658, -1356, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
16932, -1101, 3700, -1374, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
16976, -1082, 3723, -1407, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
17020, -1056, 3732, -1419, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
17063, -1077, 3645, -1352, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
17107, -1053, 3728, -1450, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
17151, -1086, 3667, -1370, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
17194, -1018, 3693, -1472, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
17238, -1122, 3726, -1344, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
17282, -1060, 3673, -1409, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
17326, -1107, 3723, -1379, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
17363, -1039, 3722, -1438, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
17401, -1022, 3684, -1399, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
17438, -1059, 3667, -1404, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
17476, -1097, 3683, -1394, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
17513, -1080, 3692, -1402, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
17551, -1182, 3728, -1362, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
17588, -1137, 3661, -1230, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
17626, -1090, 3711, -1215, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
17663, -1060, 3717, -1263, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
17701, -1087, 3760, -1307, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
17742, -1075, 3749, -1275, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
17783, -1078, 3702, -1221, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
17824, -1171, 3752, -1268, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
17865, -1167, 3698, -1273, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
17906, -1121, 3753, -1364, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
17947, -1095, 3709, -1362, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
17988, -1105, 3685, -1357, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
18029, -1089, 3706, -1425, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
18070, -1104, 3617, -1340, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
18111, -1061, 3724, -1431, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
18152, -1102, 3741, -1365, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
18188, -1122, 3675, -1366, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
18224, -1123, 3671, -1367, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
18260, -1161, 3741, -1351, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
18296, -1212, 3694, -1301, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
18332, -1182, 3705, -1350, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
18368, -1181, 3635, -1305, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
18404, -1152, 3544, -1285, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
18440, -1164, 3667, -1312, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
18476, -1179, 3751, -1348, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
18513, -1158, 3759, -1380, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
18550, -1098, 3765, -1313, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
18588, -1143, 3833, -1342, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
18626, -1107, 3753, -1333, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
18664, -1148, 3727, -1235, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
18702, -1209, 3753, -1350, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
18740, -1195, 3644, -1262, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
18778, -1164, 3700, -1272, , 4242c9e2-8ad9-4cd7-9c1e-5981e9b1171f, , berdiri, bersedekap, , 
