156841, -529, 3608, -2052, 75, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
156878, -576, 3483, -2044, 75, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
156915, -538, 3524, -1972, 75, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
156953, -596, 3484, -1901, 75, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
156990, -573, 3616, -2059, 75, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
157028, -585, 3624, -1959, 75, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
157065, -655, 3680, -1953, 75, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
157103, -653, 3634, -1961, 75, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
157140, -688, 3528, -1977, 75, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
157178, -680, 3512, -1937, 75, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
157215, -672, 3521, -1937, 75, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
157253, -692, 3553, -2019, 75, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
157296, -668, 3495, -1886, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
157339, -666, 3476, -1870, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
157382, -625, 3421, -1883, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
157425, -612, 3576, -1912, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
157468, -717, 3566, -1856, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
157511, -761, 3684, -1972, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
157554, -719, 3671, -1970, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
157597, -739, 3533, -1834, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
157640, -663, 3428, -1880, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
157684, -735, 3494, -1915, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
157720, -672, 3590, -1983, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
157756, -744, 3645, -1908, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
157792, -706, 3759, -1987, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
157828, -683, 3687, -1902, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
157864, -644, 3619, -1853, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
157900, -690, 3619, -1835, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
157936, -738, 3584, -1780, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
157972, -840, 3586, -1653, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
158008, -884, 3632, -1648, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
158044, -867, 3511, -1518, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
158080, -872, 3536, -1545, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
158117, -841, 3513, -1520, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
158154, -833, 3457, -1618, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
158191, -904, 3537, -1543, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
158228, -895, 3819, -1698, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
158264, -829, 3738, -1784, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
158301, -801, 3743, -1737, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
158338, -761, 3636, -1769, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
158375, -771, 3535, -1764, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
158412, -726, 3627, -1832, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
158449, -759, 3523, -1734, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
158487, -739, 3660, -1852, 76, 56904467-f306-4808-8e1e-476027c8170e, , berdiri, bersedekap, , 
