187115, -1269, 3309, -1830, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
187151, -1300, 3298, -1770, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
187187, -1403, 3408, -1752, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
187223, -1498, 3286, -1765, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
187259, -1527, 3551, -1955, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
187296, -1351, 3498, -1968, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
187332, -1461, 3384, -1868, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
187368, -1391, 3284, -1884, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
187404, -1460, 3280, -1874, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
187441, -1477, 3311, -1828, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
187477, -1417, 3319, -1875, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
187513, -1456, 3149, -1791, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
187550, -1570, 3323, -2049, 91, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
187590, -1608, 3388, -1970, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
187630, -1471, 3404, -1929, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
187671, -1418, 3399, -1881, 92, d72ae888-4e0c-4af1-a086-642b7e305eb2, , berdiri, bersedekap, , 
