237565, -1056, 4126, -883, 79, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
237607, -974, 3982, -881, 79, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
237650, -901, 3883, -818, 79, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
237693, -907, 3838, -830, 79, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
237736, -966, 3881, -896, 79, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
237772, -1016, 3831, -848, 79, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
237808, -975, 3862, -879, 79, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
237844, -995, 3876, -847, 79, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
237880, -1034, 3929, -881, 79, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
237916, -1037, 3844, -876, 79, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
237952, -962, 3826, -855, 79, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
237988, -1012, 3678, -889, 79, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
238024, -955, 3754, -945, 79, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
238060, -1048, 3964, -887, 79, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
238096, -1083, 3990, -917, 79, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
238132, -1026, 3966, -926, 79, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
238169, -1033, 3833, -894, 79, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
238207, -1069, 3811, -955, 79, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
238244, -1071, 3854, -889, 79, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
238282, -1072, 3869, -959, 79, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
238320, -1038, 3892, -930, 79, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
238357, -1032, 3801, -941, 79, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
238395, -1019, 3820, -927, 79, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
238432, -1009, 3803, -918, 79, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
238470, -1033, 3866, -938, 79, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
238508, -1034, 3822, -956, 79, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
238546, -1039, 3833, -954, 79, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
238584, -1034, 3822, -951, 79, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
238623, -1036, 3859, -955, 79, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
238661, -994, 3865, -963, 79, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
238700, -978, 3839, -988, 79, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
238738, -999, 3852, -960, 79, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
238776, -980, 3861, -975, 79, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
238815, -964, 3834, -1005, 79, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
238853, -979, 3836, -1005, 79, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
238892, -944, 3852, -1034, 79, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
238929, -942, 3870, -1055, 79, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
238966, -951, 3884, -1058, 79, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
239004, -953, 3848, -1108, 79, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
239041, -991, 3841, -1001, 79, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
239078, -914, 3858, -1140, 79, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
239116, -928, 3868, -1097, 79, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
239153, -928, 3895, -1102, 79, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
239190, -972, 3874, -1101, 79, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
239228, -946, 3866, -1112, 79, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
239265, -910, 3821, -1090, 79, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
239303, -935, 3777, -1099, 79, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
239343, -933, 3848, -1124, 80, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
239383, -917, 3820, -1068, 80, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
239423, -916, 3815, -1059, 80, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
239463, -919, 3794, -1057, 80, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
239504, -889, 3803, -1044, 80, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
239544, -913, 3823, -1046, 80, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
239584, -915, 3829, -1079, 80, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
239624, -905, 3826, -1077, 80, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
239664, -903, 3813, -1038, 80, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
239705, -910, 3828, -990, 80, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
239746, -933, 3844, -997, 80, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
239787, -926, 3848, -1055, 80, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
239829, -974, 3877, -932, 80, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
239870, -930, 3836, -1040, 80, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
239912, -940, 3877, -932, 80, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
239953, -931, 3884, -944, 80, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
239994, -928, 3854, -959, 80, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
240036, -947, 3863, -943, 80, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
240077, -936, 3874, -974, 80, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
240119, -944, 3857, -951, 80, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
240154, -928, 3888, -986, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
240189, -941, 3890, -958, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
240224, -932, 3857, -958, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
240259, -940, 3873, -949, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
240294, -917, 3890, -957, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
240329, -922, 3862, -959, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
240364, -938, 3889, -929, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
240399, -928, 3887, -974, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
240434, -927, 3879, -956, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
240469, -951, 3822, -941, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
240505, -938, 3860, -947, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
240545, -922, 3899, -980, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
240586, -951, 3922, -966, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
240626, -899, 3859, -989, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
240667, -906, 3919, -955, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
240707, -935, 3893, -975, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
240748, -946, 3852, -984, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
240788, -928, 3852, -978, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
240829, -924, 3876, -994, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
240869, -917, 3892, -1003, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
240910, -905, 3826, -985, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
240949, -921, 3862, -995, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
240988, -921, 3854, -986, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
241027, -879, 3893, -995, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
241066, -928, 3849, -982, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
241105, -920, 3888, -984, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
241145, -922, 3870, -1005, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
241184, -920, 3847, -998, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
241223, -922, 3876, -981, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
241262, -924, 3885, -1006, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
241301, -929, 3842, -1012, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
241341, -949, 3826, -947, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
241378, -919, 3829, -1040, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
241416, -895, 3912, -962, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
241454, -907, 3883, -997, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
241492, -921, 3840, -999, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
241530, -921, 3856, -994, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
241568, -926, 3862, -1026, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
241606, -914, 3873, -1003, 82, 456d2213-d30c-4aea-9187-86bab0b62568, , berdiri, bersedekap, , 
