74885, -1267, 3724, -771, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
74925, -1264, 3717, -677, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
74964, -1244, 3729, -709, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
75004, -1295, 3716, -654, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
75043, -1272, 3789, -550, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
75083, -1359, 3844, -710, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
75123, -1435, 3874, -646, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
75161, -1303, 3801, -645, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
75199, -1308, 3902, -601, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
75237, -1591, 4008, -855, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
75275, -1424, 3618, -448, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
75314, -1521, 4035, -692, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
75352, -1415, 3816, -309, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
75390, -1136, 3845, -383, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
75428, -1219, 3760, -344, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
75466, -1279, 3644, -277, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
75505, -1385, 4125, -555, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
75542, -1364, 3761, -288, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
75579, -1365, 3951, -263, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
75616, -1368, 3974, -215, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
75654, -1260, 3893, -167, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
75691, -1208, 3868, -192, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
75728, -1321, 3685, 54, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
75765, -1220, 3965, -444, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
75803, -1234, 4018, -614, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
75840, -1322, 4104, -685, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
75877, -1324, 4000, -553, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
75915, -1267, 3651, -146, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
75952, -1208, 3734, -383, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
75989, -1238, 3750, -488, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
76026, -1253, 3805, -585, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
76063, -1259, 3627, -529, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
76101, -1341, 3935, -383, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
76138, -1304, 3848, -467, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
76175, -1309, 3822, -412, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
76212, -1281, 3938, -478, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
76249, -1313, 3871, -379, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
76287, -1356, 3985, -517, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
76330, -1379, 3876, -436, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
76373, -1311, 3908, -494, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
76416, -1321, 3892, -473, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
76460, -1251, 3814, -425, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
76503, -1318, 3849, -437, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
76546, -1322, 3831, -420, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
76590, -1371, 3821, -416, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
76633, -1355, 3858, -445, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
76676, -1405, 3871, -485, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
76720, -1482, 3790, -473, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
76753, -1323, 3835, -477, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
76786, -1380, 3791, -471, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
76820, -1401, 3811, -419, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
76853, -1338, 3845, -583, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
76886, -1358, 3823, -454, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
76920, -1337, 3845, -451, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
76953, -1364, 3734, -467, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
76986, -1377, 3815, -488, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
77020, -1385, 3912, -546, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
77053, -1348, 3842, -583, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
77087, -1332, 3795, -509, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
77123, -969, 4336, -614, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
77160, -1279, 3936, -623, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
77197, -1338, 3834, -555, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
77234, -1361, 3861, -584, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
77271, -1344, 3847, -580, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
77307, -1328, 3822, -598, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
77344, -1336, 3829, -550, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
77381, -1359, 3806, -624, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
77418, -1318, 3857, -636, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
77455, -1302, 3825, -564, 91, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
77500, -1341, 3835, -548, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
77545, -1318, 3846, -606, 92, f214be8a-f290-444c-8feb-178863f6bfc3, , berdiri, bersedekap, , 
