275004, 301, 3931, -697, 86, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
275044, 351, 4037, -670, 86, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
275084, 357, 4005, -624, 86, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
275125, 349, 4044, -522, 86, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
275164, 318, 4150, -464, 86, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
275204, 327, 4150, -395, 86, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
275244, 272, 4061, -439, 86, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
275284, 291, 4030, -484, 86, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
275324, 290, 4026, -521, 86, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
275364, 334, 4059, -429, 86, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
275404, 333, 4059, -425, 86, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
275444, 352, 4042, -465, 86, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
275484, 336, 4066, -426, 86, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
275524, 327, 4069, -369, 86, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
275560, 317, 4002, -335, 85, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
275596, 308, 4057, -342, 85, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
275632, 311, 4134, -342, 85, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
275668, 345, 4097, -383, 85, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
275704, 349, 4028, -348, 85, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
275740, 321, 4023, -403, 85, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
275776, 310, 4000, -412, 85, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
275812, 318, 4009, -401, 85, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
275848, 369, 4073, -357, 85, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
275884, 332, 4112, -403, 85, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
275920, 365, 4119, -383, 85, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
275963, 410, 4084, -362, 85, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
276007, 382, 4087, -366, 85, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
276050, 370, 4074, -379, 85, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
276094, 377, 4075, -416, 85, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
276137, 373, 4063, -419, 85, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
276181, 338, 4035, -440, 85, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
276224, 341, 4046, -460, 85, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
276268, 378, 4090, -446, 85, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
276311, 402, 4083, -408, 85, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
276355, 382, 4074, -387, 85, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
276388, 373, 4079, -412, 85, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
276421, 328, 4034, -423, 85, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
276454, 350, 4057, -417, 85, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
276487, 363, 4046, -414, 85, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
276520, 357, 4057, -439, 85, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
276554, 361, 4080, -443, 85, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
276587, 403, 4062, -463, 85, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
276620, 382, 4082, -446, 85, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
276653, 359, 4067, -433, 85, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
276686, 307, 4081, -438, 85, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
276720, 319, 4085, -445, 85, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
276760, 316, 4057, -446, 85, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
276800, 292, 4062, -454, 85, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
276840, 319, 4061, -429, 85, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
276880, 328, 4066, -441, 85, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
276921, 312, 4102, -454, 85, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
276961, 326, 4084, -454, 85, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
277001, 343, 4096, -458, 85, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
277041, 297, 4053, -474, 85, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
277081, 252, 4040, -506, 85, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
277122, 315, 4062, -459, 85, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
277160, 346, 4060, -432, 85, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
277199, 374, 4075, -445, 85, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
277238, 359, 4062, -454, 85, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
277277, 335, 4061, -446, 85, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
277316, 330, 4068, -466, 85, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
277354, 294, 4072, -453, 85, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
277393, 302, 4038, -472, 85, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
277432, 291, 4046, -469, 85, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
277471, 324, 4087, -483, 85, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
277510, 314, 4087, -478, 85, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
277547, 327, 4073, -484, 84, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
277584, 304, 4097, -471, 84, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
277621, 321, 4104, -485, 84, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
277658, 297, 4039, -501, 84, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
277695, 309, 4058, -454, 84, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
277732, 313, 4058, -475, 84, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
277769, 321, 4070, -495, 84, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
277806, 337, 4086, -483, 84, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
277843, 346, 4055, -481, 84, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
277880, 326, 4042, -471, 84, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
277918, 317, 4049, -456, 84, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
277957, 319, 4061, -457, 84, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
277996, 292, 4063, -479, 84, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
278035, 330, 4069, -478, 84, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
278074, 309, 4047, -465, 84, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
278113, 339, 4038, -459, 84, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
278152, 307, 4053, -484, 84, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
278191, 313, 4063, -504, 84, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
278230, 331, 4006, -460, 84, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
278269, 289, 4018, -483, 84, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
278309, 335, 4080, -514, 84, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
278346, 345, 4065, -492, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
278383, 337, 4071, -491, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
278420, 318, 4063, -510, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
278457, 315, 4034, -472, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
278494, 330, 4047, -482, 83, cadc1642-caae-44e8-b709-0780dfd5a151, , berdiri, bersedekap, , 
