267739, -870, 3589, -1723, 85, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
267780, -909, 3634, -1772, 85, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
267820, -905, 3533, -1797, 85, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
267860, -834, 3631, -1821, 85, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
267901, -864, 3528, -1772, 85, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
267941, -840, 3524, -1835, 85, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
267982, -866, 3552, -1785, 85, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
268016, -931, 3546, -1902, 85, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
268051, -863, 3567, -1834, 85, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
268085, -890, 3481, -1700, 85, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
268120, -877, 3581, -1958, 85, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
268155, -938, 3512, -1831, 85, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
268189, -897, 3498, -1830, 85, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
268224, -913, 3548, -1949, 85, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
268258, -977, 3414, -1916, 85, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
268293, -955, 3481, -1979, 85, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
268328, -957, 3459, -2000, 85, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
268362, -969, 3523, -2047, 85, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
268397, -977, 3504, -2056, 85, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
268432, -937, 3448, -1998, 85, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
268470, -878, 3392, -1929, 85, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
268508, -902, 3507, -2019, 85, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
268546, -991, 3466, -1947, 85, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
268584, -897, 3405, -2072, 85, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
268622, -914, 3460, -1913, 85, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
268660, -856, 3416, -2021, 85, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
268698, -805, 3385, -2020, 85, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
268736, -1002, 3461, -1951, 85, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
268774, -874, 3557, -2083, 85, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
268812, -946, 3590, -2070, 85, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
268850, -893, 3467, -2014, 85, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
268888, -894, 3420, -1966, 85, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
268926, -915, 3414, -1958, 85, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
268963, -879, 3509, -1942, 85, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
269001, -900, 3500, -1974, 85, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
269038, -928, 3514, -1920, 85, 23ab52c7-ad0a-41bb-903f-bf5c591cfd21, , berdiri, bersedekap, , 
