28713, -651, 3983, -1123, , f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
28746, -677, 3836, -1060, , f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
28780, -686, 3844, -1079, , f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
28821, -680, 3799, -1035, , f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
28863, -682, 3815, -1024, , f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
28905, -734, 3804, -995, , f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
28947, -713, 3911, -1087, , f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
28989, -717, 3902, -1048, , f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
29031, -729, 3910, -1044, , f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
29073, -733, 3903, -1089, , f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
29115, -669, 3964, -1162, , f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
29157, -663, 3926, -1137, , f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
29199, -691, 3751, -1133, , f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
29235, -710, 3834, -1187, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
29271, -499, 4258, -1128, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
29307, -581, 3950, -1096, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
29343, -571, 3837, -1071, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
29379, -638, 3849, -1068, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
29416, -660, 3949, -1083, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
29452, -610, 3886, -1080, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
29488, -683, 3930, -1103, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
29524, -644, 3921, -1131, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
29560, -680, 3839, -1088, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
29597, -692, 3870, -1066, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
29637, -710, 3865, -1159, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
29677, -668, 3880, -1054, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
29717, -681, 3844, -1083, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
29757, -707, 3844, -1097, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
29798, -726, 3941, -1090, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
29838, -774, 3885, -1066, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
29878, -707, 3867, -1095, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
29918, -726, 3836, -1099, 106, f0d872b5-6076-4afb-b577-683975b2e0bb, , berdiri, bersedekap, , 
