75180, -780, 3670, -1587, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
75220, -791, 3770, -1634, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
75259, -851, 3698, -1502, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
75298, -865, 3471, -1471, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
75337, -828, 3759, -1460, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
75376, -885, 3639, -1508, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
75416, -764, 3805, -1571, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
75457, -834, 3661, -1525, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
75498, -882, 3709, -1534, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
75539, -875, 3700, -1574, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
75580, -814, 3663, -1555, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
75621, -894, 3658, -1540, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
75662, -920, 3692, -1577, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
75703, -900, 3694, -1565, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
75744, -892, 3683, -1586, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
75785, -902, 3716, -1591, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
75826, -866, 3670, -1600, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
75867, -917, 3671, -1593, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
75902, -901, 3645, -1586, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
75938, -922, 3647, -1582, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
75974, -919, 3670, -1608, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
76010, -934, 3642, -1597, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
76046, -948, 3646, -1626, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
76081, -961, 3689, -1558, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
76117, -911, 3613, -1689, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
76153, -885, 3646, -1637, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
76189, -921, 3642, -1649, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
76225, -938, 3644, -1657, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
76263, -916, 3653, -1655, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
76302, -884, 3607, -1663, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
76341, -919, 3612, -1672, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
76380, -905, 3630, -1662, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
76419, -883, 3616, -1666, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
76458, -880, 3639, -1672, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
76497, -907, 3590, -1699, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
76536, -895, 3647, -1692, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
76575, -907, 3619, -1703, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
76614, -876, 3629, -1676, 60, 4937db18-aaa7-4bf9-b878-7fbd722d991d, , berdiri, bersedekap, , 
