131922, -514, 3539, -1781, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
131963, -604, 3559, -1862, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
132000, -849, 3602, -1757, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
132038, -805, 3585, -1861, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
132075, -837, 3655, -1914, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
132113, -875, 3659, -1690, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
132150, -683, 3591, -1850, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
132188, -808, 3676, -1724, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
132225, -897, 3606, -1779, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
132263, -800, 3557, -1752, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
132300, -793, 3463, -1743, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
132338, -777, 3642, -1732, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
132375, -819, 3463, -1695, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
132413, -814, 3634, -1757, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
132451, -846, 3583, -1738, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
132489, -886, 3601, -1713, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
132527, -867, 3602, -1820, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
132565, -895, 3582, -1755, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
132603, -865, 3604, -1783, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
132641, -913, 3613, -1732, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
132679, -870, 3599, -1808, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
132717, -795, 3599, -1892, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
132755, -883, 3568, -1774, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
132793, -911, 3567, -1766, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
132831, -876, 3555, -1820, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
132869, -904, 3506, -1776, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
132907, -942, 3609, -1812, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
132946, -864, 3626, -1855, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
132983, -897, 3547, -1801, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
133021, -927, 3533, -1810, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
133058, -896, 3586, -1843, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
133096, -888, 3586, -1836, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
133133, -882, 3583, -1837, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
133171, -862, 3621, -1860, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
133208, -902, 3515, -1823, 89, abf58e2d-c816-4556-aacf-136fc0727ea7, , berdiri, bersedekap, , 
