44248, -1156, 3584, -1510, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
44288, -1151, 3636, -1684, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
44328, -1173, 3582, -1603, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
44368, -1036, 3718, -1667, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
44408, -1006, 3190, -1603, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
44449, -1458, 3679, -1845, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
44486, -978, 3647, -1535, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
44523, -1042, 3518, -1730, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
44560, -1036, 3733, -1703, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
44597, -1160, 3498, -1637, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
44634, -1225, 3336, -1460, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
44671, -1041, 3674, -1719, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
44709, -1099, 3663, -1752, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
44746, -1115, 3494, -1660, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
44783, -1081, 3503, -1645, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
44820, -962, 3625, -1686, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
44857, -1034, 3657, -1645, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
44894, -1023, 3571, -1683, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
44932, -1101, 3669, -1699, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
44970, -1012, 3571, -1685, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
45008, -998, 3651, -1598, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
45046, -1009, 3558, -1744, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
45084, -1031, 3611, -1665, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
45122, -999, 3657, -1656, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
45160, -1065, 3586, -1625, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
45198, -1050, 3670, -1681, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
45236, -983, 3640, -1675, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
45274, -1018, 3595, -1652, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
45312, -1008, 3568, -1554, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
45350, -1016, 3688, -1759, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
45388, -920, 3648, -1380, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
45426, -946, 3536, -1424, 100, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
45465, -937, 3702, -1431, 99, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
45505, -739, 3821, -1407, 99, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
45545, -785, 3751, -1380, 99, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
45584, -767, 3802, -1411, 99, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
45624, -807, 3789, -1377, 99, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
45664, -805, 3777, -1409, 99, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
45703, -854, 3712, -1375, 99, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
45743, -758, 3714, -1438, 99, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
45783, -870, 3718, -1322, 99, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
45822, -817, 3683, -1431, 99, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
45862, -858, 3838, -1485, 99, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
45902, -858, 3735, -1389, 99, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
45942, -796, 3711, -1480, 99, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
45979, -915, 3648, -1409, 99, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
46017, -790, 4010, -1334, 99, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
46054, -787, 3863, -1459, 99, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
46092, -841, 3767, -1488, 99, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
46130, -824, 3782, -1298, 99, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
46167, -780, 3770, -1356, 99, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
46205, -821, 3813, -1360, 99, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
46242, -851, 3759, -1341, 99, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
46280, -807, 3808, -1377, 99, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
46318, -832, 3763, -1317, 99, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
46355, -817, 3862, -1358, 99, 21967116-fd26-497f-bff7-256620086fd0, , berdiri, bersedekap, , 
