162277, -123, 4331, 826, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
162310, -34, 4096, 804, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
162343, -19, 3978, 992, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
162376, 20, 3873, 732, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
162410, 174, 3868, 882, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
162451, 151, 3970, 928, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
162493, -27, 3965, 751, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
162535, -123, 3925, 783, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
162577, -1, 4159, 694, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
162619, -41, 4275, 528, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
162660, 30, 4163, 701, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
162702, 0, 4137, 710, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
162744, -2, 3963, 754, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
162786, 11, 3974, 783, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
162828, -59, 3991, 649, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
162862, -35, 4021, 646, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
162897, -45, 4185, 603, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
162932, -122, 4158, 565, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
162966, -86, 4050, 672, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
163001, -40, 3959, 772, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
163036, -18, 3968, 698, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
163071, 4, 4072, 688, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
163105, -28, 4112, 661, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
163140, -39, 4089, 642, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
163175, 5, 4043, 695, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
163210, -37, 3998, 732, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
163253, 8, 4046, 716, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
163296, 20, 4120, 596, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
163339, 29, 4061, 622, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
163383, -18, 4008, 720, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
163426, -4, 3966, 769, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
163469, -21, 4015, 740, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
163513, -14, 4103, 721, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
163556, -9, 4066, 723, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
163599, -11, 4093, 680, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
163643, -5, 4078, 688, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
163678, -14, 4123, 656, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
163713, 13, 4017, 755, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
163748, -30, 4003, 731, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
163783, 18, 4055, 710, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
163818, 17, 4077, 706, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
163853, -5, 4069, 688, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
163888, 16, 4048, 705, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
163923, -5, 4053, 725, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
163958, -2, 4059, 720, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
163993, -2, 4052, 720, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
164030, 18, 4025, 715, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
164068, 13, 4054, 717, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
164106, -18, 4063, 702, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
164144, 21, 4025, 726, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
164182, 5, 4068, 698, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
164220, 22, 4080, 690, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
164258, 32, 4054, 740, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
164296, -22, 4163, 707, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
164334, -18, 4141, 690, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
164372, 55, 3966, 716, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
164410, 46, 3930, 713, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
164447, 22, 4040, 737, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
164485, 25, 4054, 753, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
164522, 9, 4030, 765, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
164560, -3, 4012, 765, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
164597, -12, 4038, 727, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
164635, -27, 4045, 714, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
164672, -3, 4038, 739, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
164710, 11, 4048, 706, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
164747, -4, 4064, 701, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
164785, -15, 4061, 703, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
164822, -32, 4056, 645, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
164860, -31, 4016, 674, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
164897, -39, 4068, 668, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
164935, -17, 4083, 654, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
164972, 0, 4048, 631, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
165010, -5, 4037, 625, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
165047, -35, 4107, 628, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
165085, -9, 4046, 639, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
165122, -24, 4037, 649, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
165160, -60, 4100, 602, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
165198, -68, 4115, 611, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
165240, -18, 4062, 631, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
165283, -35, 4045, 616, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
165326, -27, 4067, 615, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
165369, -36, 4047, 626, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
165412, -48, 4067, 630, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
165455, -38, 4063, 608, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
165498, -36, 4062, 612, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
165541, -56, 4093, 619, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
165584, -57, 4046, 643, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
165627, -40, 4072, 616, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
165663, -40, 4023, 618, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
165700, -57, 4049, 607, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
165737, -33, 4068, 606, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
165774, -21, 4064, 615, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
165811, -44, 4074, 616, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
165848, -54, 4073, 591, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
165885, -30, 4078, 596, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
165922, -39, 4076, 593, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
165959, -43, 4066, 601, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
165996, -41, 4040, 612, 100, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
166034, -60, 4070, 612, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
166072, -22, 4023, 601, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
166110, -28, 4069, 584, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
166148, -57, 4088, 602, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
166186, -60, 4054, 600, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
166224, -27, 4064, 557, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
166262, -37, 4074, 557, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
166300, -30, 4075, 561, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
166338, -24, 4053, 601, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
166376, -50, 4067, 585, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
166414, -94, 4102, 552, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
166451, -32, 4064, 577, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
166489, -26, 4026, 566, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
166527, -56, 4067, 591, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
166565, -43, 4050, 594, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
166603, -42, 4088, 591, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
166641, -41, 4082, 554, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
166679, -23, 4065, 583, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
166717, -55, 4091, 569, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
166755, -59, 4089, 582, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
166793, -36, 4046, 563, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
166835, -24, 4058, 542, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
166877, -46, 4089, 563, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
166920, -32, 4072, 555, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
166962, -35, 4065, 553, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
167005, -65, 4060, 569, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
167047, -49, 4094, 566, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
167090, -38, 4037, 564, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
167132, -53, 4064, 535, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
167175, -54, 4066, 559, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
167217, -51, 4081, 584, 99, 7836e0d2-7527-457c-8cc1-d41a5d124eaf, , berdiri, bersedekap, , 
