59091, 213, 4095, 784, 97, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
59126, 168, 4184, 710, 97, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
59161, 56, 4151, 688, 97, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
59202, -42, 4178, 752, 97, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
59243, 52, 3912, 724, 97, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
59284, 38, 3923, 784, 97, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
59325, 98, 3960, 804, 97, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
59367, 12, 4100, 827, 97, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
59408, 108, 4081, 854, 97, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
59449, 34, 4000, 837, 97, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
59490, -4, 4007, 869, 97, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
59531, 84, 4024, 920, 97, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
59573, 68, 4031, 874, 97, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
59607, 39, 4074, 854, 97, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
59642, 84, 4028, 891, 97, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
59677, 5, 4114, 931, 97, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
59711, 70, 4218, 1015, 97, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
59746, 493, 3743, 1156, 97, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
59781, -893, 5096, 630, 97, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
59816, -250, 3553, 535, 97, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
59850, -62, 3917, 949, 97, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
