82666, -174, 4104, 37, 83, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
82697, -104, 3950, 81, 83, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
82729, -128, 4074, 66, 83, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
82761, -158, 4122, 54, 83, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
82793, -175, 4077, 101, 83, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
82833, -162, 4056, 222, 83, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
82873, -150, 4142, 300, 83, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
82913, -220, 4273, 259, 83, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
82953, -173, 4183, 249, 83, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
82993, -109, 4048, 271, 83, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
83033, -74, 4012, 298, 83, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
83073, -141, 4006, 257, 83, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
83113, -170, 4098, 262, 83, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
83153, -49, 4064, 205, 83, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
83193, -105, 4252, 182, 83, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
83232, -150, 4218, 278, 83, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
83271, -164, 4053, 379, 83, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
83310, -119, 4018, 402, 83, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
83349, -54, 3958, 330, 83, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
83388, 4, 4067, 430, 83, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
83427, -38, 4126, 356, 83, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
83466, -56, 4144, 281, 83, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
83505, -7, 4135, 313, 83, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
83544, -14, 4133, 377, 83, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
83584, -7, 4059, 403, 83, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
83622, -78, 4059, 367, 83, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
83661, -118, 4068, 332, 83, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
83699, -80, 4139, 353, 83, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
83738, -61, 4092, 436, 83, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
83776, -55, 4058, 423, 83, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
83815, -62, 4065, 366, 83, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
83853, -34, 4077, 326, 83, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
83892, 6, 4051, 300, 83, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
83930, -73, 4087, 297, 83, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
83969, -127, 4196, 329, 83, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
84008, -59, 4091, 370, 83, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
84053, -8, 4090, 352, 84, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
84099, -8, 4083, 351, 84, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
84144, -44, 4076, 318, 84, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
84190, -43, 4070, 329, 84, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
84236, 5, 4113, 343, 84, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
