17287, 386, 3954, -68, , a040ab3e-9acd-45db-9dd3-dc4bbb310677, , berdiri, bersedekap, , 
17323, 433, 4091, -152, , a040ab3e-9acd-45db-9dd3-dc4bbb310677, , berdiri, bersedekap, , 
17360, 478, 4127, -264, , a040ab3e-9acd-45db-9dd3-dc4bbb310677, , berdiri, bersedekap, , 
17397, 523, 4196, -247, , a040ab3e-9acd-45db-9dd3-dc4bbb310677, , berdiri, bersedekap, , 
17434, 506, 4172, -216, , a040ab3e-9acd-45db-9dd3-dc4bbb310677, , berdiri, bersedekap, , 
17471, 472, 4109, -201, , a040ab3e-9acd-45db-9dd3-dc4bbb310677, , berdiri, bersedekap, , 
17507, 477, 4081, -238, , a040ab3e-9acd-45db-9dd3-dc4bbb310677, , berdiri, bersedekap, , 
17544, 505, 4104, -287, , a040ab3e-9acd-45db-9dd3-dc4bbb310677, , berdiri, bersedekap, , 
17581, 510, 4129, -268, , a040ab3e-9acd-45db-9dd3-dc4bbb310677, , berdiri, bersedekap, , 
17618, 526, 4127, -263, , a040ab3e-9acd-45db-9dd3-dc4bbb310677, , berdiri, bersedekap, , 
17655, 506, 4073, -271, , a040ab3e-9acd-45db-9dd3-dc4bbb310677, , berdiri, bersedekap, , 
17692, 488, 3913, -211, , a040ab3e-9acd-45db-9dd3-dc4bbb310677, , berdiri, bersedekap, , 
17733, 437, 3923, -133, , a040ab3e-9acd-45db-9dd3-dc4bbb310677, , berdiri, bersedekap, , 
17774, 444, 4066, -140, , a040ab3e-9acd-45db-9dd3-dc4bbb310677, , berdiri, bersedekap, , 
17816, 449, 4072, -152, , a040ab3e-9acd-45db-9dd3-dc4bbb310677, , berdiri, bersedekap, , 
17857, 520, 4089, -91, , a040ab3e-9acd-45db-9dd3-dc4bbb310677, , berdiri, bersedekap, , 
17899, 556, 4077, -160, , a040ab3e-9acd-45db-9dd3-dc4bbb310677, , berdiri, bersedekap, , 
17940, 543, 4058, -182, , a040ab3e-9acd-45db-9dd3-dc4bbb310677, , berdiri, bersedekap, , 
17981, 517, 4054, -210, , a040ab3e-9acd-45db-9dd3-dc4bbb310677, , berdiri, bersedekap, , 
18023, 534, 4085, -205, , a040ab3e-9acd-45db-9dd3-dc4bbb310677, , berdiri, bersedekap, , 
18064, 556, 4068, -224, , a040ab3e-9acd-45db-9dd3-dc4bbb310677, , berdiri, bersedekap, , 
18106, 551, 4103, -221, , a040ab3e-9acd-45db-9dd3-dc4bbb310677, , berdiri, bersedekap, , 
18140, 543, 4058, -227, , a040ab3e-9acd-45db-9dd3-dc4bbb310677, , berdiri, bersedekap, , 
18175, 563, 4080, -227, , a040ab3e-9acd-45db-9dd3-dc4bbb310677, , berdiri, bersedekap, , 
