19770, -965, 4074, -1357, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
19817, -1087, 3980, -1529, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
19863, -1102, 4273, -1869, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
19909, -885, 3856, -1801, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
19956, -829, 3975, -1673, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
20002, -854, 3751, -1616, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
20049, -1019, 3496, -1537, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
20087, -861, 3472, -1422, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
20125, -845, 3663, -1508, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
20164, -880, 3715, -1502, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
20202, -786, 3708, -1562, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
20240, -817, 3679, -1511, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
20279, -749, 3969, -1698, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
20317, -800, 3800, -1622, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
20355, -786, 3789, -1575, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
20394, -839, 3744, -1651, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
20432, -799, 3831, -1542, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
20471, -842, 3695, -1599, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
20502, -833, 3630, -1556, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
20534, -845, 3684, -1556, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
20565, -821, 3664, -1533, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
20597, -824, 3692, -1483, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
20628, -790, 3701, -1523, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
20660, -887, 3656, -1562, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
20691, -853, 3618, -1518, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
20723, -789, 3623, -1536, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
20754, -749, 3492, -1668, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
20786, -831, 3739, -1611, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
20827, -855, 3609, -1461, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
20868, -825, 3678, -1612, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
20910, -834, 3700, -1565, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
20951, -778, 3681, -1657, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
20993, -829, 3673, -1501, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
21034, -861, 3678, -1571, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
21075, -886, 3694, -1563, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
21117, -840, 3751, -1574, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
21158, -836, 3685, -1602, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
21200, -827, 3694, -1587, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
21237, -838, 3636, -1547, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
21275, -863, 3688, -1514, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
21313, -869, 3692, -1580, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
21351, -838, 3710, -1586, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
21389, -823, 3723, -1571, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
21426, -827, 3677, -1569, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
21464, -858, 3632, -1579, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
21502, -798, 3645, -1560, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
21540, -905, 3531, -1473, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
21578, -770, 3755, -1597, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
21616, -797, 3758, -1482, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
21659, -835, 3742, -1520, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
21703, -857, 3714, -1544, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
21746, -812, 3750, -1557, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
21790, -842, 3731, -1537, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
21833, -795, 3618, -1527, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
21877, -805, 3676, -1428, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
21920, -833, 3692, -1585, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
21964, -835, 3802, -1565, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
22007, -940, 3681, -1470, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
22051, -854, 3749, -1473, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
22082, -867, 3714, -1474, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
22113, -867, 3713, -1496, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
22145, -905, 3698, -1439, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
22176, -877, 3724, -1510, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
22207, -924, 3733, -1490, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
22239, -866, 3719, -1521, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
22270, -911, 3679, -1456, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
22301, -918, 3738, -1526, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
22333, -909, 3685, -1481, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
22364, -890, 3690, -1484, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
22396, -897, 3740, -1494, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
22438, -889, 3751, -1463, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
22480, -898, 3728, -1463, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
22522, -882, 3713, -1525, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
22564, -863, 3701, -1478, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
22606, -861, 3705, -1480, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
22648, -917, 3696, -1458, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
22690, -873, 3740, -1502, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
22732, -871, 3704, -1522, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
22774, -867, 3683, -1480, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
22817, -872, 3755, -1516, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
22854, -871, 3765, -1536, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
22891, -897, 3707, -1469, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
22928, -849, 3677, -1494, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
