117565, -1235, 3816, -861, 110, a6743fdb-7b5d-483a-8936-74f4225d67a5, , berdiri, bersedekap, , 
117601, -1299, 3668, -787, 110, a6743fdb-7b5d-483a-8936-74f4225d67a5, , berdiri, bersedekap, , 
117639, -1333, 3776, -816, 110, a6743fdb-7b5d-483a-8936-74f4225d67a5, , berdiri, bersedekap, , 
117677, -1315, 3825, -884, 110, a6743fdb-7b5d-483a-8936-74f4225d67a5, , berdiri, bersedekap, , 
117715, -1371, 3804, -879, 110, a6743fdb-7b5d-483a-8936-74f4225d67a5, , berdiri, bersedekap, , 
117753, -1298, 3738, -934, 110, a6743fdb-7b5d-483a-8936-74f4225d67a5, , berdiri, bersedekap, , 
117792, -1311, 3683, -806, 110, a6743fdb-7b5d-483a-8936-74f4225d67a5, , berdiri, bersedekap, , 
117830, -1280, 3725, -816, 110, a6743fdb-7b5d-483a-8936-74f4225d67a5, , berdiri, bersedekap, , 
117868, -1358, 3927, -909, 110, a6743fdb-7b5d-483a-8936-74f4225d67a5, , berdiri, bersedekap, , 
117906, -1313, 3948, -868, 110, a6743fdb-7b5d-483a-8936-74f4225d67a5, , berdiri, bersedekap, , 
117944, -1314, 3813, -818, 110, a6743fdb-7b5d-483a-8936-74f4225d67a5, , berdiri, bersedekap, , 
117983, -1265, 3811, -824, 110, a6743fdb-7b5d-483a-8936-74f4225d67a5, , berdiri, bersedekap, , 
118018, -1286, 3748, -835, 110, a6743fdb-7b5d-483a-8936-74f4225d67a5, , berdiri, bersedekap, , 
118054, -1306, 3852, -907, 110, a6743fdb-7b5d-483a-8936-74f4225d67a5, , berdiri, bersedekap, , 
118090, -1256, 3745, -847, 110, a6743fdb-7b5d-483a-8936-74f4225d67a5, , berdiri, bersedekap, , 
118126, -1259, 3791, -860, 110, a6743fdb-7b5d-483a-8936-74f4225d67a5, , berdiri, bersedekap, , 
118162, -1276, 3775, -845, 110, a6743fdb-7b5d-483a-8936-74f4225d67a5, , berdiri, bersedekap, , 
118198, -1278, 3782, -886, 110, a6743fdb-7b5d-483a-8936-74f4225d67a5, , berdiri, bersedekap, , 
118234, -1284, 3771, -865, 110, a6743fdb-7b5d-483a-8936-74f4225d67a5, , berdiri, bersedekap, , 
118270, -1264, 3750, -885, 110, a6743fdb-7b5d-483a-8936-74f4225d67a5, , berdiri, bersedekap, , 
118306, -1224, 3730, -857, 110, a6743fdb-7b5d-483a-8936-74f4225d67a5, , berdiri, bersedekap, , 
118342, -1225, 3810, -940, 110, a6743fdb-7b5d-483a-8936-74f4225d67a5, , berdiri, bersedekap, , 
118378, -1240, 3825, -865, 110, a6743fdb-7b5d-483a-8936-74f4225d67a5, , berdiri, bersedekap, , 
118419, -1232, 3834, -909, 110, a6743fdb-7b5d-483a-8936-74f4225d67a5, , berdiri, bersedekap, , 
118461, -1241, 3788, -919, 110, a6743fdb-7b5d-483a-8936-74f4225d67a5, , berdiri, bersedekap, , 
118503, -1255, 3774, -942, 110, a6743fdb-7b5d-483a-8936-74f4225d67a5, , berdiri, bersedekap, , 
118544, -1261, 3729, -931, 110, a6743fdb-7b5d-483a-8936-74f4225d67a5, , berdiri, bersedekap, , 
118586, -1236, 3797, -989, 110, a6743fdb-7b5d-483a-8936-74f4225d67a5, , berdiri, bersedekap, , 
118628, -1256, 3762, -930, 110, a6743fdb-7b5d-483a-8936-74f4225d67a5, , berdiri, bersedekap, , 
118669, -1246, 3793, -971, 110, a6743fdb-7b5d-483a-8936-74f4225d67a5, , berdiri, bersedekap, , 
118711, -1231, 3849, -986, 110, a6743fdb-7b5d-483a-8936-74f4225d67a5, , berdiri, bersedekap, , 
118753, -1214, 3779, -989, 110, a6743fdb-7b5d-483a-8936-74f4225d67a5, , berdiri, bersedekap, , 
118795, -1203, 3780, -985, 110, a6743fdb-7b5d-483a-8936-74f4225d67a5, , berdiri, bersedekap, , 
118835, -1201, 3799, -997, 110, a6743fdb-7b5d-483a-8936-74f4225d67a5, , berdiri, bersedekap, , 
118875, -1261, 3772, -1017, 110, a6743fdb-7b5d-483a-8936-74f4225d67a5, , berdiri, bersedekap, , 
118915, -1248, 3750, -1006, 110, a6743fdb-7b5d-483a-8936-74f4225d67a5, , berdiri, bersedekap, , 
118956, -1264, 3781, -1054, 110, a6743fdb-7b5d-483a-8936-74f4225d67a5, , berdiri, bersedekap, , 
118996, -1229, 3787, -1001, 110, a6743fdb-7b5d-483a-8936-74f4225d67a5, , berdiri, bersedekap, , 
119036, -1168, 3783, -1085, 110, a6743fdb-7b5d-483a-8936-74f4225d67a5, , berdiri, bersedekap, , 
119077, -1211, 3828, -1005, 110, a6743fdb-7b5d-483a-8936-74f4225d67a5, , berdiri, bersedekap, , 
119117, -1213, 3869, -1051, 110, a6743fdb-7b5d-483a-8936-74f4225d67a5, , berdiri, bersedekap, , 
119157, -1216, 3865, -1067, 110, a6743fdb-7b5d-483a-8936-74f4225d67a5, , berdiri, bersedekap, , 
119198, -1225, 3796, -1034, 110, a6743fdb-7b5d-483a-8936-74f4225d67a5, , berdiri, bersedekap, , 
119234, -1212, 3820, -1029, 110, a6743fdb-7b5d-483a-8936-74f4225d67a5, , berdiri, bersedekap, , 
119270, -1207, 3725, -1027, 110, a6743fdb-7b5d-483a-8936-74f4225d67a5, , berdiri, bersedekap, , 
119306, -1197, 3795, -995, 110, a6743fdb-7b5d-483a-8936-74f4225d67a5, , berdiri, bersedekap, , 
119342, -1226, 3710, -1013, 110, a6743fdb-7b5d-483a-8936-74f4225d67a5, , berdiri, bersedekap, , 
119378, -1217, 3743, -1003, 110, a6743fdb-7b5d-483a-8936-74f4225d67a5, , berdiri, bersedekap, , 
119414, -1207, 3787, -1016, 110, a6743fdb-7b5d-483a-8936-74f4225d67a5, , berdiri, bersedekap, , 
119450, -1246, 3809, -1002, 110, a6743fdb-7b5d-483a-8936-74f4225d67a5, , berdiri, bersedekap, , 
119486, -1226, 3797, -1015, 110, a6743fdb-7b5d-483a-8936-74f4225d67a5, , berdiri, bersedekap, , 
119522, -1190, 3729, -980, 110, a6743fdb-7b5d-483a-8936-74f4225d67a5, , berdiri, bersedekap, , 
119558, -1201, 3728, -966, 110, a6743fdb-7b5d-483a-8936-74f4225d67a5, , berdiri, bersedekap, , 
119594, -1153, 3717, -1007, 110, a6743fdb-7b5d-483a-8936-74f4225d67a5, , berdiri, bersedekap, , 
119632, -1172, 3759, -1038, 110, a6743fdb-7b5d-483a-8936-74f4225d67a5, , berdiri, bersedekap, , 
119670, -1178, 3775, -1012, 110, a6743fdb-7b5d-483a-8936-74f4225d67a5, , berdiri, bersedekap, , 
119709, -1186, 3838, -1015, 110, a6743fdb-7b5d-483a-8936-74f4225d67a5, , berdiri, bersedekap, , 
119747, -1239, 3799, -1013, 110, a6743fdb-7b5d-483a-8936-74f4225d67a5, , berdiri, bersedekap, , 
119786, -1210, 3817, -991, 110, a6743fdb-7b5d-483a-8936-74f4225d67a5, , berdiri, bersedekap, , 
119824, -1199, 3854, -957, 110, a6743fdb-7b5d-483a-8936-74f4225d67a5, , berdiri, bersedekap, , 
119862, -1221, 3767, -999, 110, a6743fdb-7b5d-483a-8936-74f4225d67a5, , berdiri, bersedekap, , 
119901, -1178, 3712, -919, 110, a6743fdb-7b5d-483a-8936-74f4225d67a5, , berdiri, bersedekap, , 
119939, -1204, 3778, -955, 110, a6743fdb-7b5d-483a-8936-74f4225d67a5, , berdiri, bersedekap, , 
119978, -1201, 3824, -950, 110, a6743fdb-7b5d-483a-8936-74f4225d67a5, , berdiri, bersedekap, , 
