85531, 436, 3760, -674, 65, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
85567, 424, 3805, -682, 65, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
85602, 343, 3903, -734, 65, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
85638, 246, 4033, -838, 65, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
85673, 318, 4036, -914, 65, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
85709, 349, 3821, -998, 65, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
85749, 509, 3851, -1223, 65, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
85790, 701, 3960, -1354, 65, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
85831, 449, 4079, -1075, 65, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
85871, 118, 4303, -875, 65, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
85912, -67, 4272, -941, 65, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
85953, -62, 3989, -1008, 65, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
85993, -1, 3783, -891, 65, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
86034, 18, 3833, -856, 65, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
86075, 205, 4043, -892, 65, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
86116, 346, 4102, -957, 65, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
86160, 461, 4055, -1015, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
86204, 382, 4075, -1024, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
86248, 289, 4015, -932, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
86292, 224, 3916, -934, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
86336, 221, 3931, -933, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
86380, 237, 3922, -899, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
86424, 278, 3935, -895, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
86468, 262, 3999, -905, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
86512, 215, 4009, -923, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
86557, 192, 3998, -1004, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
86588, 151, 3957, -1033, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
86620, 82, 3986, -1071, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
86652, 76, 4040, -1058, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
86684, 131, 4037, -1018, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
86716, 176, 3999, -946, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
86748, 207, 3995, -899, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
86780, 226, 3980, -976, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
86812, 162, 3989, -998, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
86844, 191, 3951, -950, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
86876, 163, 3906, -958, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
86908, 138, 3981, -1022, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
86949, 160, 4013, -991, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
86990, 162, 4038, -996, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
87031, 155, 4040, -981, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
87072, 159, 3995, -1001, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
87113, 147, 3986, -1016, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
87154, 153, 3979, -994, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
87195, 137, 3971, -1004, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
87236, 163, 3977, -1021, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
