308502, -511, 4098, -627, 80, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
308541, -603, 4152, -641, 80, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
308581, -630, 3948, -592, 80, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
308620, -584, 3995, -636, 80, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
308659, -644, 3989, -673, 80, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
308699, -640, 3979, -706, 80, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
308738, -714, 4121, -737, 80, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
308777, -565, 4005, -740, 80, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
308817, -562, 4032, -674, 80, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
308858, -586, 3986, -712, 80, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
308900, -578, 4054, -753, 80, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
308942, -629, 4087, -792, 80, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
308983, -630, 4070, -755, 80, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
309025, -592, 3944, -720, 80, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
309067, -612, 3958, -694, 80, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
309108, -627, 3943, -711, 80, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
309150, -627, 3969, -695, 80, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
309192, -597, 3963, -700, 80, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
309234, -600, 4021, -730, 80, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
309268, -582, 4027, -729, 80, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
309303, -583, 4004, -723, 80, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
309338, -596, 3951, -704, 80, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
309372, -597, 4002, -770, 80, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
309407, -680, 4024, -655, 80, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
309442, -576, 4043, -764, 80, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
309477, -592, 3949, -675, 80, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
309511, -611, 3969, -701, 80, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
309546, -638, 3927, -699, 80, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
309581, -612, 4005, -739, 80, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
309616, -595, 4069, -724, 80, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
309657, -597, 4033, -771, 80, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
309698, -610, 4022, -713, 80, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
309739, -615, 3993, -711, 80, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
309780, -585, 3965, -734, 80, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
309822, -585, 3996, -719, 80, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
309863, -588, 4016, -681, 80, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
309904, -609, 4061, -744, 80, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
309945, -626, 4021, -729, 80, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
309986, -625, 3997, -707, 80, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
310028, -599, 3970, -736, 80, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
310063, -638, 4002, -654, 80, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
310099, -579, 3959, -767, 80, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
310134, -562, 4058, -702, 80, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
