65065, 600, 3901, 509, 92, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
65106, 641, 4001, 497, 92, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
65146, 633, 4114, 435, 92, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
65187, 633, 4078, 385, 92, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
65228, 651, 4076, 402, 92, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
65267, 655, 4083, 486, 92, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
65307, 659, 4005, 536, 92, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
65347, 664, 4000, 546, 92, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
65387, 645, 4035, 594, 92, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
65427, 599, 4040, 493, 92, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
65466, 626, 4033, 524, 92, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
65506, 669, 4011, 604, 92, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
65546, 659, 3993, 574, 92, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
65586, 629, 4021, 552, 92, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
65626, 607, 4022, 549, 92, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
65662, 617, 4047, 539, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
65698, 595, 4062, 566, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
65735, 656, 3979, 592, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
65771, 618, 4015, 557, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
65808, 623, 4067, 562, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
65844, 627, 4045, 594, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
65881, 619, 4028, 569, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
65917, 609, 4025, 594, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
65954, 599, 3980, 590, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
65990, 602, 4023, 582, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
66027, 611, 4033, 536, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
66066, 654, 4016, 645, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
66106, 658, 4015, 670, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
66145, 634, 4021, 616, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
