189444, -1068, 4039, -1034, 102, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
189486, -1008, 3853, -1048, 101, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
189529, -956, 3817, -941, 101, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
189571, -1058, 3741, -916, 101, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
189614, -1037, 3830, -937, 101, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
189656, -1085, 3874, -930, 101, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
189699, -1102, 3877, -920, 101, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
189741, -1123, 3931, -926, 101, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
189784, -1116, 3779, -952, 101, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
189826, -1101, 3786, -936, 101, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
189869, -1096, 3781, -939, 101, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
189905, -1118, 3826, -972, 101, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
189941, -1154, 3804, -956, 101, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
189978, -1167, 3806, -903, 101, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
190014, -1171, 3835, -821, 101, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
190051, -1071, 3844, -1041, 101, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
190087, -1080, 3867, -908, 101, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
190124, -1114, 3798, -930, 101, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
190160, -1106, 3844, -1013, 101, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
190197, -1136, 3781, -1013, 101, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
190233, -1138, 3865, -987, 101, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
190270, -1162, 3823, -1015, 101, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
190313, -1113, 3800, -951, 102, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
190357, -1140, 3782, -954, 102, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
190400, -1103, 3880, -1039, 102, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
190444, -1112, 3822, -992, 102, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
190488, -1097, 3771, -1024, 102, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
190531, -1124, 3827, -1035, 102, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
190575, -1132, 3806, -1018, 102, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
190618, -1108, 3831, -1048, 102, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
190662, -1144, 3777, -1058, 102, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
190706, -1206, 3774, -923, 102, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
190737, -1105, 3812, -1126, 102, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
190768, -1112, 3822, -1016, 102, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
190800, -1126, 3813, -1044, 102, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
