332414, 3050, -1309, -2403, 83, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
332450, 2983, -1251, -2487, 84, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
332487, 3035, -1090, -2547, 84, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
332523, 2918, -1440, -2735, 84, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
332560, 2946, -1633, -2476, 84, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
332597, 2975, -1460, -2371, 84, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
332633, 2980, -1324, -2450, 84, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
332670, 2959, -1034, -2568, 84, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
332707, 3049, -1226, -2670, 84, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
332743, 3099, -1709, -2476, 84, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
332780, 3170, -1441, -2289, 84, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
332817, 3300, -1527, -2433, 84, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
332858, 3316, -1282, -2273, 84, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
332900, 3441, -1170, -2253, 84, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
332942, 3526, -1210, -2144, 84, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
332984, 3500, -1162, -2133, 84, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
