107957, 2862, -1869, -2280, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
107991, 2954, -1874, -2276, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
108025, 3132, -1794, -2217, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
108059, 3287, -1748, -2161, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
108093, 3207, -1893, -2133, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
108127, 3183, -1719, -2264, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
108162, 3349, -1648, -2090, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
108208, 3268, -1748, -2050, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
108255, 3285, -1403, -2083, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
108301, 3277, -1706, -2397, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
108348, 3214, -1511, -1860, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
108395, 3269, -1456, -1783, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
108441, 3352, -1728, -1957, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
108488, 3401, -1406, -1835, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
108534, 3467, -1413, -1574, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
108581, 3532, -1397, -1535, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
108628, 3501, -1442, -1764, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
108659, 3772, -1494, -1401, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
108690, 3849, -1455, -2074, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
108721, 3660, -754, -1047, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
108752, 4499, -135, -694, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
108783, 4245, -1181, -2548, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
108814, 4667, -2472, -2763, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
108845, 4357, 98, -894, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
108876, 4152, 17, -541, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
108907, 4828, -508, -854, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
108938, 4828, -151, -642, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
108970, 3848, -289, -324, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
109010, 3688, -183, -591, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
109051, 3833, -352, -625, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
109091, 3795, -443, -777, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
109132, 3715, -301, -799, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
109173, 3944, -518, -777, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
109213, 3812, -251, -761, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
109254, 3981, -264, -683, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
109294, 3953, -193, -563, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
109335, 3855, 11, -477, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
109376, 4001, -60, -347, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
109414, 3885, 75, -294, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
109453, 4148, 146, 56, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
109491, 3523, 297, -415, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
109530, 3726, 692, -61, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
109569, 3554, 565, 26, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
109607, 3351, 868, 77, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
109646, 3800, 805, 49, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
109684, 3973, 962, -304, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
109723, 3959, 1048, -297, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
109762, 3962, 1067, -53, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
109797, 3837, 991, -104, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
109833, 3891, 952, 97, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
109869, 4017, 1315, 269, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
109905, 4031, 1423, 476, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
109941, 4287, 1900, 910, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
109977, 4637, 2213, 928, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
110013, 4443, 2795, 897, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
110049, 4336, 2870, 964, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
110085, 4459, 3665, 854, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
110121, 4313, 3536, 699, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
110157, 3765, 3839, 893, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
110200, 3595, 4366, 1481, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
110244, 2989, 4683, 1687, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
110288, 1922, 4372, 1371, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
110331, 1342, 4137, 1985, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
110375, 264, 3530, 1691, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
