517829, 3212, 682, -2621, 83, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
517866, 3349, 611, -2535, 83, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
517903, 3541, 582, -2405, 83, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
517939, 3690, 375, -2389, 83, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
517976, 3829, 844, -2421, 83, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
518013, 3599, 1030, -2335, 83, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
518050, 3619, 781, -2165, 83, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
518087, 3645, 627, -1990, 83, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
518124, 3670, 669, -1700, 83, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
518161, 3765, 581, -1600, 83, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
518198, 3887, 544, -1871, 83, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
518236, 3534, 883, -2428, 83, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
518273, 3176, 1027, -866, 83, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
518310, 4352, 948, -816, 83, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
518347, 4480, 1445, -3084, 83, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
518385, 4945, 256, -3962, 83, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
518422, 5453, 777, 24, 83, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
518459, 4982, 930, -770, 83, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
518497, 4129, -49, -1561, 83, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
518536, 3700, -289, -627, 83, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
518575, 3998, -188, -583, 83, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
518614, 4067, 114, -682, 83, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
518653, 3787, -60, 113, 83, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
518693, 3757, -35, 127, 83, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
518732, 3650, 268, 492, 83, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
518771, 3574, 134, 597, 83, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
518810, 3455, 635, 358, 83, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
518849, 3683, 288, 119, 83, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
518889, 3908, 311, -363, 83, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
518928, 3777, 675, -219, 83, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
518968, 3616, 586, -317, 83, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
519008, 3747, 1009, 244, 83, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
519047, 3405, 956, 216, 83, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
519087, 3552, 987, 228, 83, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
519127, 3472, 1376, 177, 83, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
519166, 3790, 1666, 113, 83, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
519206, 3808, 1794, 351, 83, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
519246, 3810, 1660, 470, 83, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
519286, 3994, 1691, 699, 83, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
519328, 4113, 1873, 898, 82, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
519370, 4153, 1640, 1359, 82, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
519413, 4179, 1373, 1779, 82, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
519455, 4090, 2093, 1785, 82, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
519498, 4022, 3092, 1795, 82, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
519540, 3883, 3660, 1940, 82, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
519583, 3552, 3747, 2041, 82, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
519625, 3439, 4187, 2284, 82, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
519668, 2783, 3683, 2767, 82, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
519710, 2267, 2735, 2927, 82, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
519753, 1597, 2809, 2414, 82, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
519786, 792, 2629, 2504, 82, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
519819, -59, 2509, 2495, 82, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
