168669, 3159, -1365, -2327, 94, 8bc69efd-6c63-4ad6-9382-4d5bf2ff94ee, , transisi, transisi_ruku_ke_iktidal, , 
168706, 3252, -1329, -2288, 94, 8bc69efd-6c63-4ad6-9382-4d5bf2ff94ee, , transisi, transisi_ruku_ke_iktidal, , 
168744, 3358, -1350, -2206, 94, 8bc69efd-6c63-4ad6-9382-4d5bf2ff94ee, , transisi, transisi_ruku_ke_iktidal, , 
168782, 3400, -1307, -2189, 94, 8bc69efd-6c63-4ad6-9382-4d5bf2ff94ee, , transisi, transisi_ruku_ke_iktidal, , 
168819, 3498, -1358, -2108, 94, 8bc69efd-6c63-4ad6-9382-4d5bf2ff94ee, , transisi, transisi_ruku_ke_iktidal, , 
168857, 3523, -1277, -2069, 94, 8bc69efd-6c63-4ad6-9382-4d5bf2ff94ee, , transisi, transisi_ruku_ke_iktidal, , 
168895, 3524, -1197, -2048, 94, 8bc69efd-6c63-4ad6-9382-4d5bf2ff94ee, , transisi, transisi_ruku_ke_iktidal, , 
168932, 3673, -1109, -2034, 94, 8bc69efd-6c63-4ad6-9382-4d5bf2ff94ee, , transisi, transisi_ruku_ke_iktidal, , 
168970, 3635, -960, -2037, 94, 8bc69efd-6c63-4ad6-9382-4d5bf2ff94ee, , transisi, transisi_ruku_ke_iktidal, , 
169008, 3785, -865, -1917, 94, 8bc69efd-6c63-4ad6-9382-4d5bf2ff94ee, , transisi, transisi_ruku_ke_iktidal, , 
169046, 3826, -717, -1662, 94, 8bc69efd-6c63-4ad6-9382-4d5bf2ff94ee, , transisi, transisi_ruku_ke_iktidal, , 
169090, 3712, -813, -1668, 94, 8bc69efd-6c63-4ad6-9382-4d5bf2ff94ee, , transisi, transisi_ruku_ke_iktidal, , 
169135, 3659, -1101, -2404, 94, 8bc69efd-6c63-4ad6-9382-4d5bf2ff94ee, , transisi, transisi_ruku_ke_iktidal, , 
169180, 3733, -1906, -1913, 94, 8bc69efd-6c63-4ad6-9382-4d5bf2ff94ee, , transisi, transisi_ruku_ke_iktidal, , 
169225, 3654, -774, -1783, 94, 8bc69efd-6c63-4ad6-9382-4d5bf2ff94ee, , transisi, transisi_ruku_ke_iktidal, , 
169270, 3876, -7, -426, 94, 8bc69efd-6c63-4ad6-9382-4d5bf2ff94ee, , transisi, transisi_ruku_ke_iktidal, , 
169315, 4142, -946, -1019, 94, 8bc69efd-6c63-4ad6-9382-4d5bf2ff94ee, , transisi, transisi_ruku_ke_iktidal, , 
169360, 3891, -1236, -1002, 94, 8bc69efd-6c63-4ad6-9382-4d5bf2ff94ee, , transisi, transisi_ruku_ke_iktidal, , 
169405, 5596, -1677, -1097, 94, 8bc69efd-6c63-4ad6-9382-4d5bf2ff94ee, , transisi, transisi_ruku_ke_iktidal, , 
169450, 7416, 824, -1658, 94, 8bc69efd-6c63-4ad6-9382-4d5bf2ff94ee, , transisi, transisi_ruku_ke_iktidal, , 
169495, 5633, 1242, -871, 94, 8bc69efd-6c63-4ad6-9382-4d5bf2ff94ee, , transisi, transisi_ruku_ke_iktidal, , 
169526, 3318, 963, -454, 94, 8bc69efd-6c63-4ad6-9382-4d5bf2ff94ee, , transisi, transisi_ruku_ke_iktidal, , 
169558, 3609, 843, -115, 94, 8bc69efd-6c63-4ad6-9382-4d5bf2ff94ee, , transisi, transisi_ruku_ke_iktidal, , 
169589, 4137, 1297, -203, 94, 8bc69efd-6c63-4ad6-9382-4d5bf2ff94ee, , transisi, transisi_ruku_ke_iktidal, , 
169621, 4289, 1854, -500, 94, 8bc69efd-6c63-4ad6-9382-4d5bf2ff94ee, , transisi, transisi_ruku_ke_iktidal, , 
169653, 4477, 2035, 193, 94, 8bc69efd-6c63-4ad6-9382-4d5bf2ff94ee, , transisi, transisi_ruku_ke_iktidal, , 
169684, 4676, 2167, 319, 94, 8bc69efd-6c63-4ad6-9382-4d5bf2ff94ee, , transisi, transisi_ruku_ke_iktidal, , 
169716, 4441, 2874, 472, 94, 8bc69efd-6c63-4ad6-9382-4d5bf2ff94ee, , transisi, transisi_ruku_ke_iktidal, , 
169748, 4254, 2819, 521, 94, 8bc69efd-6c63-4ad6-9382-4d5bf2ff94ee, , transisi, transisi_ruku_ke_iktidal, , 
169779, 3675, 3226, 384, 94, 8bc69efd-6c63-4ad6-9382-4d5bf2ff94ee, , transisi, transisi_ruku_ke_iktidal, , 
169811, 3478, 3092, 713, 94, 8bc69efd-6c63-4ad6-9382-4d5bf2ff94ee, , transisi, transisi_ruku_ke_iktidal, , 
169843, 2738, 3344, 839, 94, 8bc69efd-6c63-4ad6-9382-4d5bf2ff94ee, , transisi, transisi_ruku_ke_iktidal, , 
169885, 2138, 2983, 1067, 95, 8bc69efd-6c63-4ad6-9382-4d5bf2ff94ee, , transisi, transisi_ruku_ke_iktidal, , 
169928, 1333, 3125, 1306, 95, 8bc69efd-6c63-4ad6-9382-4d5bf2ff94ee, , transisi, transisi_ruku_ke_iktidal, , 
169971, 322, 2552, 1504, 95, 8bc69efd-6c63-4ad6-9382-4d5bf2ff94ee, , transisi, transisi_ruku_ke_iktidal, , 
170013, -548, 2607, 1634, 95, 8bc69efd-6c63-4ad6-9382-4d5bf2ff94ee, , transisi, transisi_ruku_ke_iktidal, , 
170056, -1196, 2291, 1708, 95, 8bc69efd-6c63-4ad6-9382-4d5bf2ff94ee, , transisi, transisi_ruku_ke_iktidal, , 
170099, -1895, 1924, 1907, 95, 8bc69efd-6c63-4ad6-9382-4d5bf2ff94ee, , transisi, transisi_ruku_ke_iktidal, , 
170141, -2323, 1783, 1877, 95, 8bc69efd-6c63-4ad6-9382-4d5bf2ff94ee, , transisi, transisi_ruku_ke_iktidal, , 
170184, -2935, 772, 1624, 95, 8bc69efd-6c63-4ad6-9382-4d5bf2ff94ee, , transisi, transisi_ruku_ke_iktidal, , 
170227, -3124, 699, 1637, 95, 8bc69efd-6c63-4ad6-9382-4d5bf2ff94ee, , transisi, transisi_ruku_ke_iktidal, , 
170270, -3774, 429, 1341, 95, 8bc69efd-6c63-4ad6-9382-4d5bf2ff94ee, , transisi, transisi_ruku_ke_iktidal, , 
170306, -3519, -93, 1468, 95, 8bc69efd-6c63-4ad6-9382-4d5bf2ff94ee, , transisi, transisi_ruku_ke_iktidal, , 
170342, -3917, -569, 1192, 95, 8bc69efd-6c63-4ad6-9382-4d5bf2ff94ee, , transisi, transisi_ruku_ke_iktidal, , 
170379, -3387, -775, 1241, 95, 8bc69efd-6c63-4ad6-9382-4d5bf2ff94ee, , transisi, transisi_ruku_ke_iktidal, , 
170415, -2789, -951, 962, 95, 8bc69efd-6c63-4ad6-9382-4d5bf2ff94ee, , transisi, transisi_ruku_ke_iktidal, , 
170452, -1883, -1530, 407, 95, 8bc69efd-6c63-4ad6-9382-4d5bf2ff94ee, , transisi, transisi_ruku_ke_iktidal, , 
170488, -1397, -2718, -318, 95, 8bc69efd-6c63-4ad6-9382-4d5bf2ff94ee, , transisi, transisi_ruku_ke_iktidal, , 
170525, -1092, -3024, -885, 95, 8bc69efd-6c63-4ad6-9382-4d5bf2ff94ee, , transisi, transisi_ruku_ke_iktidal, , 
170561, -655, -3340, -892, 95, 8bc69efd-6c63-4ad6-9382-4d5bf2ff94ee, , transisi, transisi_ruku_ke_iktidal, , 
170598, -528, -2816, -725, 95, 8bc69efd-6c63-4ad6-9382-4d5bf2ff94ee, , transisi, transisi_ruku_ke_iktidal, , 
170634, -294, -2140, -508, 95, 8bc69efd-6c63-4ad6-9382-4d5bf2ff94ee, , transisi, transisi_ruku_ke_iktidal, , 
170671, 77, -1323, -76, 95, 8bc69efd-6c63-4ad6-9382-4d5bf2ff94ee, , transisi, transisi_ruku_ke_iktidal, , 
170709, 801, -482, -671, 96, 8bc69efd-6c63-4ad6-9382-4d5bf2ff94ee, , transisi, transisi_ruku_ke_iktidal, , 
170748, 2138, 1452, 1410, 96, 8bc69efd-6c63-4ad6-9382-4d5bf2ff94ee, , transisi, transisi_ruku_ke_iktidal, , 
170787, 2242, 3436, 2859, 96, 8bc69efd-6c63-4ad6-9382-4d5bf2ff94ee, , transisi, transisi_ruku_ke_iktidal, , 
170826, 3321, 4535, 2755, 96, 8bc69efd-6c63-4ad6-9382-4d5bf2ff94ee, , transisi, transisi_ruku_ke_iktidal, , 
170865, 4387, 3814, 1889, 96, 8bc69efd-6c63-4ad6-9382-4d5bf2ff94ee, , transisi, transisi_ruku_ke_iktidal, , 
170904, 7535, 2204, 472, 96, 8bc69efd-6c63-4ad6-9382-4d5bf2ff94ee, , transisi, transisi_ruku_ke_iktidal, , 
170943, 11898, 1353, 755, 96, 8bc69efd-6c63-4ad6-9382-4d5bf2ff94ee, , transisi, transisi_ruku_ke_iktidal, , 
170982, 13278, 4747, -1493, 96, 8bc69efd-6c63-4ad6-9382-4d5bf2ff94ee, , transisi, transisi_ruku_ke_iktidal, , 
171021, 7137, 4513, -2214, 96, 8bc69efd-6c63-4ad6-9382-4d5bf2ff94ee, , transisi, transisi_ruku_ke_iktidal, , 
171060, 4012, 2488, -702, 96, 8bc69efd-6c63-4ad6-9382-4d5bf2ff94ee, , transisi, transisi_ruku_ke_iktidal, , 
171100, 4110, 2520, -503, 96, 8bc69efd-6c63-4ad6-9382-4d5bf2ff94ee, , transisi, transisi_ruku_ke_iktidal, , 
171141, 4564, 2251, -815, 96, 8bc69efd-6c63-4ad6-9382-4d5bf2ff94ee, , transisi, transisi_ruku_ke_iktidal, , 
171182, 4157, 2227, -228, 96, 8bc69efd-6c63-4ad6-9382-4d5bf2ff94ee, , transisi, transisi_ruku_ke_iktidal, , 
171223, 3151, 1750, 148, 96, 8bc69efd-6c63-4ad6-9382-4d5bf2ff94ee, , transisi, transisi_ruku_ke_iktidal, , 
171264, 3011, 1633, -204, 96, 8bc69efd-6c63-4ad6-9382-4d5bf2ff94ee, , transisi, transisi_ruku_ke_iktidal, , 
171304, 3468, 1646, -609, 96, 8bc69efd-6c63-4ad6-9382-4d5bf2ff94ee, , transisi, transisi_ruku_ke_iktidal, , 
171345, 4207, 2171, -984, 96, 8bc69efd-6c63-4ad6-9382-4d5bf2ff94ee, , transisi, transisi_ruku_ke_iktidal, , 
171386, 4418, 1566, -773, 96, 8bc69efd-6c63-4ad6-9382-4d5bf2ff94ee, , transisi, transisi_ruku_ke_iktidal, , 
171427, 4578, 970, -623, 96, 8bc69efd-6c63-4ad6-9382-4d5bf2ff94ee, , transisi, transisi_ruku_ke_iktidal, , 
171468, 4867, 1194, -130, 96, 8bc69efd-6c63-4ad6-9382-4d5bf2ff94ee, , transisi, transisi_ruku_ke_iktidal, , 
171504, 5678, -4952, 1883, 96, 8bc69efd-6c63-4ad6-9382-4d5bf2ff94ee, , transisi, transisi_ruku_ke_iktidal, , 
171540, 3760, -1363, 482, 96, 8bc69efd-6c63-4ad6-9382-4d5bf2ff94ee, , transisi, transisi_ruku_ke_iktidal, , 
171577, 4093, -325, -392, 96, 8bc69efd-6c63-4ad6-9382-4d5bf2ff94ee, , transisi, transisi_ruku_ke_iktidal, , 
