56772, 3253, -631, -2464, 54, 5c2e2317-5eda-4c5b-8087-bc8c81a10223, , transisi, transisi_ruku_ke_iktidal, , 
56808, 3255, -566, -2482, 54, 5c2e2317-5eda-4c5b-8087-bc8c81a10223, , transisi, transisi_ruku_ke_iktidal, , 
56844, 3523, -447, -2393, 54, 5c2e2317-5eda-4c5b-8087-bc8c81a10223, , transisi, transisi_ruku_ke_iktidal, , 
56880, 3820, -426, -2231, 54, 5c2e2317-5eda-4c5b-8087-bc8c81a10223, , transisi, transisi_ruku_ke_iktidal, , 
56916, 4196, -425, -1756, 54, 5c2e2317-5eda-4c5b-8087-bc8c81a10223, , transisi, transisi_ruku_ke_iktidal, , 
56952, 4417, -556, -1717, 54, 5c2e2317-5eda-4c5b-8087-bc8c81a10223, , transisi, transisi_ruku_ke_iktidal, , 
56988, 4077, -286, -2511, 54, 5c2e2317-5eda-4c5b-8087-bc8c81a10223, , transisi, transisi_ruku_ke_iktidal, , 
57024, 4177, -210, -1650, 54, 5c2e2317-5eda-4c5b-8087-bc8c81a10223, , transisi, transisi_ruku_ke_iktidal, , 
57059, 4261, -289, -1076, 54, 5c2e2317-5eda-4c5b-8087-bc8c81a10223, , transisi, transisi_ruku_ke_iktidal, , 
57095, 4359, -828, -2285, 54, 5c2e2317-5eda-4c5b-8087-bc8c81a10223, , transisi, transisi_ruku_ke_iktidal, , 
57131, 3125, 160, -1962, 54, 5c2e2317-5eda-4c5b-8087-bc8c81a10223, , transisi, transisi_ruku_ke_iktidal, , 
57167, 3361, 1910, -436, 54, 5c2e2317-5eda-4c5b-8087-bc8c81a10223, , transisi, transisi_ruku_ke_iktidal, , 
57203, 4319, 1508, -2512, 54, 5c2e2317-5eda-4c5b-8087-bc8c81a10223, , transisi, transisi_ruku_ke_iktidal, , 
57239, 5126, -2056, -5751, 54, 5c2e2317-5eda-4c5b-8087-bc8c81a10223, , transisi, transisi_ruku_ke_iktidal, , 
57275, 5745, 798, -2428, 54, 5c2e2317-5eda-4c5b-8087-bc8c81a10223, , transisi, transisi_ruku_ke_iktidal, , 
57311, 5136, 679, -1319, 54, 5c2e2317-5eda-4c5b-8087-bc8c81a10223, , transisi, transisi_ruku_ke_iktidal, , 
57347, 4117, 553, -831, 54, 5c2e2317-5eda-4c5b-8087-bc8c81a10223, , transisi, transisi_ruku_ke_iktidal, , 
57383, 3809, 748, 433, 54, 5c2e2317-5eda-4c5b-8087-bc8c81a10223, , transisi, transisi_ruku_ke_iktidal, , 
57419, 3865, 633, 236, 54, 5c2e2317-5eda-4c5b-8087-bc8c81a10223, , transisi, transisi_ruku_ke_iktidal, , 
57459, 3700, 675, 668, 54, 5c2e2317-5eda-4c5b-8087-bc8c81a10223, , transisi, transisi_ruku_ke_iktidal, , 
57499, 3343, 1040, 958, 54, 5c2e2317-5eda-4c5b-8087-bc8c81a10223, , transisi, transisi_ruku_ke_iktidal, , 
57539, 3859, 1276, 1647, 54, 5c2e2317-5eda-4c5b-8087-bc8c81a10223, , transisi, transisi_ruku_ke_iktidal, , 
57579, 4527, 1929, 737, 54, 5c2e2317-5eda-4c5b-8087-bc8c81a10223, , transisi, transisi_ruku_ke_iktidal, , 
57619, 5200, 2666, 535, 54, 5c2e2317-5eda-4c5b-8087-bc8c81a10223, , transisi, transisi_ruku_ke_iktidal, , 
57659, 5365, 3827, 11, 54, 5c2e2317-5eda-4c5b-8087-bc8c81a10223, , transisi, transisi_ruku_ke_iktidal, , 
57699, 5423, 3802, 297, 54, 5c2e2317-5eda-4c5b-8087-bc8c81a10223, , transisi, transisi_ruku_ke_iktidal, , 
57739, 4983, 3916, 1097, 54, 5c2e2317-5eda-4c5b-8087-bc8c81a10223, , transisi, transisi_ruku_ke_iktidal, , 
57779, 4452, 4011, 1579, 54, 5c2e2317-5eda-4c5b-8087-bc8c81a10223, , transisi, transisi_ruku_ke_iktidal, , 
57819, 3280, 3788, 1467, 54, 5c2e2317-5eda-4c5b-8087-bc8c81a10223, , transisi, transisi_ruku_ke_iktidal, , 
57858, 1723, 3541, 1309, 54, 5c2e2317-5eda-4c5b-8087-bc8c81a10223, , transisi, transisi_ruku_ke_iktidal, , 
57897, 539, 2919, 1333, 54, 5c2e2317-5eda-4c5b-8087-bc8c81a10223, , transisi, transisi_ruku_ke_iktidal, , 
57936, -254, 2407, 1433, 54, 5c2e2317-5eda-4c5b-8087-bc8c81a10223, , transisi, transisi_ruku_ke_iktidal, , 
57975, -879, 1925, 1496, 54, 5c2e2317-5eda-4c5b-8087-bc8c81a10223, , transisi, transisi_ruku_ke_iktidal, , 
58014, -1402, 684, 1200, 54, 5c2e2317-5eda-4c5b-8087-bc8c81a10223, , transisi, transisi_ruku_ke_iktidal, , 
58054, -1014, -918, 363, 54, 5c2e2317-5eda-4c5b-8087-bc8c81a10223, , transisi, transisi_ruku_ke_iktidal, , 
58093, -701, -2142, -318, 54, 5c2e2317-5eda-4c5b-8087-bc8c81a10223, , transisi, transisi_ruku_ke_iktidal, , 
58132, -823, -2986, -983, 54, 5c2e2317-5eda-4c5b-8087-bc8c81a10223, , transisi, transisi_ruku_ke_iktidal, , 
58171, -675, -5499, -1982, 54, 5c2e2317-5eda-4c5b-8087-bc8c81a10223, , transisi, transisi_ruku_ke_iktidal, , 
58210, -853, -3793, -1150, 54, 5c2e2317-5eda-4c5b-8087-bc8c81a10223, , transisi, transisi_ruku_ke_iktidal, , 
58250, -871, -3317, -1090, 54, 5c2e2317-5eda-4c5b-8087-bc8c81a10223, , transisi, transisi_ruku_ke_iktidal, , 
58284, -450, -2343, -993, 56, 5c2e2317-5eda-4c5b-8087-bc8c81a10223, , transisi, transisi_ruku_ke_iktidal, , 
58318, -140, -1478, -766, 56, 5c2e2317-5eda-4c5b-8087-bc8c81a10223, , transisi, transisi_ruku_ke_iktidal, , 
58352, 383, -830, -358, 56, 5c2e2317-5eda-4c5b-8087-bc8c81a10223, , transisi, transisi_ruku_ke_iktidal, , 
58386, 1499, 456, 419, 56, 5c2e2317-5eda-4c5b-8087-bc8c81a10223, , transisi, transisi_ruku_ke_iktidal, , 
58421, 1942, 2440, 1538, 56, 5c2e2317-5eda-4c5b-8087-bc8c81a10223, , transisi, transisi_ruku_ke_iktidal, , 
58455, 3649, 4249, 2741, 56, 5c2e2317-5eda-4c5b-8087-bc8c81a10223, , transisi, transisi_ruku_ke_iktidal, , 
58489, 4209, 3790, 2565, 56, 5c2e2317-5eda-4c5b-8087-bc8c81a10223, , transisi, transisi_ruku_ke_iktidal, , 
58523, 6802, 5713, 1677, 56, 5c2e2317-5eda-4c5b-8087-bc8c81a10223, , transisi, transisi_ruku_ke_iktidal, , 
58557, 6587, 2834, 848, 56, 5c2e2317-5eda-4c5b-8087-bc8c81a10223, , transisi, transisi_ruku_ke_iktidal, , 
58592, 9542, 1248, 63, 56, 5c2e2317-5eda-4c5b-8087-bc8c81a10223, , transisi, transisi_ruku_ke_iktidal, , 
58634, 14407, 937, 52, 56, 5c2e2317-5eda-4c5b-8087-bc8c81a10223, , transisi, transisi_ruku_ke_iktidal, , 
58677, 7201, 7365, -7402, 56, 5c2e2317-5eda-4c5b-8087-bc8c81a10223, , transisi, transisi_ruku_ke_iktidal, , 
58720, 3654, 561, -1121, 56, 5c2e2317-5eda-4c5b-8087-bc8c81a10223, , transisi, transisi_ruku_ke_iktidal, , 
58762, 3591, 2123, -1785, 56, 5c2e2317-5eda-4c5b-8087-bc8c81a10223, , transisi, transisi_ruku_ke_iktidal, , 
58805, 4474, 2393, -2144, 56, 5c2e2317-5eda-4c5b-8087-bc8c81a10223, , transisi, transisi_ruku_ke_iktidal, , 
58848, 3643, 1613, -819, 56, 5c2e2317-5eda-4c5b-8087-bc8c81a10223, , transisi, transisi_ruku_ke_iktidal, , 
58890, 3295, 1480, -1043, 56, 5c2e2317-5eda-4c5b-8087-bc8c81a10223, , transisi, transisi_ruku_ke_iktidal, , 
58933, 3132, 1708, -1450, 56, 5c2e2317-5eda-4c5b-8087-bc8c81a10223, , transisi, transisi_ruku_ke_iktidal, , 
58976, 3530, 1605, -1629, 56, 5c2e2317-5eda-4c5b-8087-bc8c81a10223, , transisi, transisi_ruku_ke_iktidal, , 
59019, 4010, 828, -1372, 56, 5c2e2317-5eda-4c5b-8087-bc8c81a10223, , transisi, transisi_ruku_ke_iktidal, , 
59053, 4212, 411, -1318, 56, 5c2e2317-5eda-4c5b-8087-bc8c81a10223, , transisi, transisi_ruku_ke_iktidal, , 
59088, 3559, 3974, -774, 56, 5c2e2317-5eda-4c5b-8087-bc8c81a10223, , transisi, transisi_ruku_ke_iktidal, , 
59123, 5733, -5276, 3351, 56, 5c2e2317-5eda-4c5b-8087-bc8c81a10223, , transisi, transisi_ruku_ke_iktidal, , 
59158, 4264, -1247, 908, 56, 5c2e2317-5eda-4c5b-8087-bc8c81a10223, , transisi, transisi_ruku_ke_iktidal, , 
59193, 3628, -351, -95, 56, 5c2e2317-5eda-4c5b-8087-bc8c81a10223, , transisi, transisi_ruku_ke_iktidal, , 
59227, 4277, 271, -737, 56, 5c2e2317-5eda-4c5b-8087-bc8c81a10223, , transisi, transisi_ruku_ke_iktidal, , 
59262, 4309, -57, -823, 56, 5c2e2317-5eda-4c5b-8087-bc8c81a10223, , transisi, transisi_ruku_ke_iktidal, , 
