165030, 3822, 605, -1527, 75, 64af9b41-1f76-44d2-9827-a80628d0e937, , transisi, transisi_ruku_ke_iktidal, , 
165061, 3879, 560, -1681, 75, 64af9b41-1f76-44d2-9827-a80628d0e937, , transisi, transisi_ruku_ke_iktidal, , 
165092, 3966, 466, -1706, 75, 64af9b41-1f76-44d2-9827-a80628d0e937, , transisi, transisi_ruku_ke_iktidal, , 
165123, 4045, 298, -1728, 75, 64af9b41-1f76-44d2-9827-a80628d0e937, , transisi, transisi_ruku_ke_iktidal, , 
165154, 4202, 219, -1601, 75, 64af9b41-1f76-44d2-9827-a80628d0e937, , transisi, transisi_ruku_ke_iktidal, , 
165186, 4524, 472, -1066, 75, 64af9b41-1f76-44d2-9827-a80628d0e937, , transisi, transisi_ruku_ke_iktidal, , 
165226, 4567, 636, -969, 75, 64af9b41-1f76-44d2-9827-a80628d0e937, , transisi, transisi_ruku_ke_iktidal, , 
165267, 4436, 515, -1154, 75, 64af9b41-1f76-44d2-9827-a80628d0e937, , transisi, transisi_ruku_ke_iktidal, , 
165307, 4329, 864, -1544, 75, 64af9b41-1f76-44d2-9827-a80628d0e937, , transisi, transisi_ruku_ke_iktidal, , 
165348, 4252, 646, -1526, 75, 64af9b41-1f76-44d2-9827-a80628d0e937, , transisi, transisi_ruku_ke_iktidal, , 
165389, 4329, 510, -1504, 75, 64af9b41-1f76-44d2-9827-a80628d0e937, , transisi, transisi_ruku_ke_iktidal, , 
165429, 4372, 433, -1230, 75, 64af9b41-1f76-44d2-9827-a80628d0e937, , transisi, transisi_ruku_ke_iktidal, , 
165470, 4400, 403, -1088, 75, 64af9b41-1f76-44d2-9827-a80628d0e937, , transisi, transisi_ruku_ke_iktidal, , 
165510, 4097, 83, -1177, 75, 64af9b41-1f76-44d2-9827-a80628d0e937, , transisi, transisi_ruku_ke_iktidal, , 
165551, 4374, 110, -1519, 75, 64af9b41-1f76-44d2-9827-a80628d0e937, , transisi, transisi_ruku_ke_iktidal, , 
