74704, 3631, 66, -2146, 93, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
74745, 3998, 74, -2019, 93, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
74786, 4141, 165, -1875, 93, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
74826, 3943, -24, -2038, 93, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
74867, 4183, 69, -1781, 93, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
74907, 4509, 5, -1368, 93, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
74948, 4461, 371, -1270, 93, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
74989, 4464, 468, -984, 93, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
75024, 4325, 374, -1189, 93, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
75059, 4167, 420, -1235, 93, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
75095, 3874, 231, -1383, 93, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
75130, 4313, 102, -579, 93, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
75165, 4169, -811, -478, 93, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
75201, 4241, -555, -1848, 93, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
75236, 5297, -1675, -1141, 93, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
75271, 4762, -768, -1975, 93, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
75307, 4473, -1088, -1692, 93, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
75342, 4383, -984, -2363, 93, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
75378, 4858, -741, -2165, 93, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
75420, 4401, -419, -1419, 93, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
75462, 3728, -46, -1014, 93, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
75504, 3477, 55, -1083, 93, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
75546, 3413, 86, -708, 93, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
75589, 3283, 497, -24, 93, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
75631, 3316, 870, 103, 93, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
75673, 4093, 1086, -146, 93, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
75715, 3867, 1075, 236, 93, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
75757, 3672, 1427, 845, 93, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
75800, 3817, 1386, 1106, 93, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
75841, 4225, 1169, 1125, 94, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
75882, 4411, 545, 1134, 94, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
75923, 5068, 566, 1444, 94, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
75965, 5660, 1184, 1511, 94, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
76006, 6732, 2054, 1079, 94, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
76047, 8067, 2748, 604, 94, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
76089, 9278, 3075, -424, 94, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
76130, 10459, 4802, 130, 94, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
76171, 9954, 3848, 664, 94, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
76213, 7600, 3241, 999, 94, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
76246, 5635, 2607, 1364, 94, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
76279, 3980, 1399, 663, 94, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
76312, 2104, 130, 303, 94, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
76345, 1136, -348, 158, 94, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
