237703, 3343, -944, -2247, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
237743, 3468, -863, -2197, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
237783, 3411, -972, -2171, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
237822, 3438, -880, -2236, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
237862, 3599, -804, -2127, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
237902, 3624, -804, -2050, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
237942, 3665, -660, -2024, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
237978, 4043, -835, -1798, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
238014, 3880, -426, -1830, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
238050, 3844, -197, -2034, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
238086, 4029, -238, -1754, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
238122, 4068, -138, -1315, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
238158, 4154, -113, -1042, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
238194, 3939, -131, -1664, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
238230, 3731, -587, -1931, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
238266, 3831, -671, -2067, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
238302, 3963, 220, -597, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
238338, 4540, 236, -1338, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
238374, 4560, 10, -1832, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
238411, 5426, -187, -1659, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
238450, 4913, 73, -1234, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
238490, 4823, 21, -727, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
238529, 4629, 299, -430, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
238569, 4603, 176, 43, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
238609, 4303, 712, 63, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
238648, 3977, 788, 118, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
238688, 3848, 1581, -4, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
238727, 4022, 1290, 786, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
238767, 4145, 2913, 533, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
238807, 4275, 3184, 668, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
