73231, 3057, -701, -2685, 88, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
73273, 3044, -710, -2688, 88, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
73315, 3056, -682, -2688, 88, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
73356, 3097, -685, -2675, 88, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
73398, 3148, -597, -2659, 88, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
73440, 3413, -465, -2498, 88, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
73482, 3396, -432, -2433, 88, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
73524, 3360, -589, -2513, 88, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
73561, 3730, -250, -2353, 89, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
73599, 3568, -83, -2464, 89, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
73636, 3596, -242, -2253, 89, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
73674, 3770, -93, -2154, 89, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
73711, 3928, -147, -1950, 89, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
73749, 3960, -26, -1600, 89, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
73786, 3812, -446, -1651, 89, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
73824, 3867, -108, -2064, 89, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
73861, 4135, -244, -3420, 89, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
73899, 4000, -202, -1879, 89, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
73937, 3767, 446, -1233, 89, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
73975, 4367, 604, -1632, 90, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
74014, 5103, 993, -1430, 90, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
74053, 5891, 1031, -1837, 90, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
74091, 4232, 1162, -1267, 90, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
74130, 3565, 935, -564, 90, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
74169, 3655, 897, -467, 90, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
74207, 3722, 1066, -565, 90, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
74246, 3756, 1350, -424, 90, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
74285, 3960, 2023, -300, 90, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
74324, 4225, 2306, -595, 90, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
74363, 4225, 2669, -317, 90, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
74402, 4311, 2611, -53, 90, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
74441, 3717, 3364, -60, 90, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
74480, 3545, 3881, 74, 90, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
74520, 3236, 4028, -37, 90, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
74559, 2813, 3745, 313, 90, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
74598, 2174, 3996, 321, 90, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
74637, 1215, 3556, 622, 90, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
74676, 472, 2916, 1245, 90, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
74716, -663, 2405, 1236, 90, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
74752, -1273, 2348, 1341, 90, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
74788, -2070, 1837, 1476, 90, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
74825, -2392, 1822, 1520, 90, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
74861, -2887, 1631, 1714, 90, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
74897, -3159, 895, 1561, 90, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
74934, -3516, 564, 1577, 90, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
74970, -3571, 453, 1467, 90, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
75006, -3429, -249, 1484, 90, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
75043, -3349, -564, 1255, 90, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
75079, -3145, -1204, 1015, 90, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
75116, -3075, -1674, 711, 90, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
75158, -2682, -2073, 818, 90, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
75200, -2210, -2025, 459, 90, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
75243, -1726, -2695, 87, 90, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
75285, -1318, -3164, -238, 90, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
75328, -1087, -3497, -453, 90, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
75370, -639, -3642, -134, 90, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
75412, -374, -3137, 26, 90, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
75455, -305, -2509, 120, 90, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
75497, -137, -1719, -30, 90, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
75540, 221, -908, -58, 90, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
75574, 900, 365, -58, 91, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
75608, 1391, 3078, 347, 91, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
75642, 1665, 4957, 2437, 91, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
75677, 2920, 6419, 1922, 91, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
75711, 3959, 4153, 1785, 91, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
75745, 6453, 3676, 107, 91, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
75779, 9456, 3366, -204, 91, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
75814, 11960, 6477, -2085, 91, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
75848, 7503, 5562, -1501, 91, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
75882, 3000, 3576, -777, 91, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
75917, 3140, 2766, -897, 91, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
75958, 3526, 3174, -1727, 91, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
76000, 4058, 2960, -1199, 91, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
76041, 3170, 2202, -181, 91, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
76083, 2693, 1648, -265, 91, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
76125, 2950, 2297, -1137, 91, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
76166, 3746, 2371, -1432, 91, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
