49771, 2803, -1483, -2637, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
49810, 2801, -1538, -2645, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
49849, 2820, -1461, -2634, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
49888, 3012, -1292, -2530, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
49927, 3314, -1254, -2512, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
49966, 3386, -1425, -2421, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
50005, 3410, -1305, -2317, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
50044, 3304, -1241, -2402, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
50083, 3285, -1102, -2364, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
50122, 3411, -1021, -2109, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
50161, 3363, -1013, -2182, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
50202, 3410, -1041, -2221, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
50244, 3395, -966, -2226, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
50285, 3376, -1014, -2203, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
50327, 3776, -1230, -1870, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
50368, 3214, -484, -1822, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
50410, 3329, -348, -2236, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
50451, 4395, -113, -2595, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
50493, 4733, -2361, -3301, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
50534, 5203, -941, -3451, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
50576, 4093, 448, -2223, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
50608, 4811, 1667, -1507, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
50640, 3908, 428, -1191, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
50673, 3639, 33, -604, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
50705, 3552, 412, -481, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
50737, 3937, 1072, -629, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
50770, 3555, 240, 46, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
50802, 3647, 478, -118, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
50834, 3823, 851, -76, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
50867, 4163, 899, -297, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
50899, 4403, 1006, -312, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
50932, 4434, 725, -74, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
50971, 4711, 1352, -226, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
