446839, 3426, 557, -2328, 69, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
446879, 3543, 500, -2462, 69, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
446919, 3444, 693, -2400, 69, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
446954, 3334, 698, -2474, 69, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
446989, 3301, 631, -2444, 69, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
447024, 3461, 487, -2265, 69, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
447060, 3630, 612, -2034, 69, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
447095, 3879, 575, -1809, 69, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
447130, 4000, 542, -1678, 69, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
447165, 3699, 465, -1545, 69, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
447201, 3683, 356, -1541, 69, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
447236, 3462, 110, -2225, 69, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
447271, 3520, 749, -2135, 69, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
447307, 4002, 952, -2192, 69, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
447345, 4685, 1199, -2858, 70, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
447384, 4765, 872, -2184, 70, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
447422, 5125, 203, -825, 70, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
447461, 4667, 629, -1016, 70, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
447500, 4307, -49, -1475, 70, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
447538, 4119, -45, -769, 70, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
447577, 3679, 399, -410, 70, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
447615, 3958, 436, -9, 70, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
447654, 3725, 447, -357, 70, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
447693, 3934, 540, -352, 70, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
447734, 3824, 599, -359, 70, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
447775, 3800, 708, -384, 70, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
447816, 3756, 581, -362, 70, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
447857, 3800, 507, -104, 70, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
447898, 3898, 322, -223, 70, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
447939, 3844, 495, -344, 70, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
447980, 3825, 505, -243, 70, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
448021, 3663, 386, -374, 70, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
448062, 3660, 824, -431, 70, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
448104, 3671, 532, -145, 70, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
448139, 3670, 518, 121, 70, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
448174, 3987, 1419, 313, 70, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
448209, 3691, 1375, 259, 70, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
448244, 3863, 1216, 102, 70, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
448279, 3778, 1292, 270, 70, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
448314, 3666, 1226, 253, 70, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
448349, 3673, 1487, 511, 70, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
448384, 3932, 2124, 580, 70, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
448419, 4048, 2144, 441, 70, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
448454, 3818, 1969, 666, 70, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
448489, 3663, 1917, 987, 70, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
448530, 3542, 2527, 447, 70, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
448572, 3323, 4210, 326, 70, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
448614, 3413, 4294, 497, 70, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
448655, 3124, 4203, 562, 70, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
448697, 2807, 4110, 802, 70, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
448739, 2328, 4322, 960, 70, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
448780, 1827, 4431, 930, 70, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
448822, 1318, 4171, 1132, 70, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
448864, 879, 4030, 1526, 70, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
448906, 446, 3941, 1722, 70, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
448945, 12, 4051, 1846, 70, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
448985, -699, 3049, 1799, 70, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
449024, -1327, 2917, 1719, 70, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
449064, -1835, 2476, 1642, 70, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
449104, -2395, 1845, 1628, 70, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
449143, -2619, 1380, 1549, 70, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
449183, -3002, 1121, 1596, 70, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
449222, -3309, 672, 1533, 70, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
449262, -3407, 90, 1367, 70, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
449302, -3446, -50, 1237, 70, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
449339, -3370, -763, 955, 72, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
449376, -3382, -935, 859, 72, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
449413, -3091, -1126, 718, 72, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
449450, -3217, -1846, 236, 72, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
449487, -3148, -2088, 322, 72, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
449525, -3068, -2318, 45, 72, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
449562, -2817, -2492, -238, 72, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
449599, -2623, -2502, -162, 72, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
