51362, 3112, -611, -2877, 83, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
51398, 3156, -711, -2406, 83, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
51434, 3211, -366, -2461, 83, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
51470, 3228, -457, -2429, 83, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
51510, 3241, -574, -2480, 83, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
51550, 3185, -694, -2464, 83, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
51590, 3289, -982, -2439, 83, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
51630, 3236, -649, -2503, 83, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
51671, 3253, -674, -2422, 83, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
51711, 3256, -539, -2526, 83, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
51751, 3328, -737, -2468, 83, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
51791, 3414, -513, -2439, 83, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
51831, 3843, -410, -2162, 83, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
51872, 3992, -442, -2001, 83, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
51917, 3830, -558, -2171, 83, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
51962, 3752, -277, -2062, 83, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
52007, 3738, -407, -2130, 83, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
52052, 3754, -359, -2107, 83, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
52098, 3863, -545, -1735, 83, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
52143, 3793, -73, -1372, 83, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
52188, 3927, -260, -1526, 83, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
52233, 3990, -656, -2616, 83, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
52278, 3390, -14, -1838, 83, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
52324, 3759, 52, -1277, 83, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
52358, 4822, 292, -2519, 83, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
52393, 6194, -1418, -2931, 83, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
52427, 5225, 527, -1653, 83, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
