210551, 3655, -487, -1855, 80, f41ae450-4b9a-41b7-a442-d83dc3fa13f3, , transisi, transisi_ruku_ke_iktidal, , 
210594, 3797, -369, -1885, 80, f41ae450-4b9a-41b7-a442-d83dc3fa13f3, , transisi, transisi_ruku_ke_iktidal, , 
210637, 3784, -262, -1843, 80, f41ae450-4b9a-41b7-a442-d83dc3fa13f3, , transisi, transisi_ruku_ke_iktidal, , 
210681, 3784, -14, -1961, 80, f41ae450-4b9a-41b7-a442-d83dc3fa13f3, , transisi, transisi_ruku_ke_iktidal, , 
210724, 3854, -276, -1683, 80, f41ae450-4b9a-41b7-a442-d83dc3fa13f3, , transisi, transisi_ruku_ke_iktidal, , 
210767, 3721, -1157, -1179, 80, f41ae450-4b9a-41b7-a442-d83dc3fa13f3, , transisi, transisi_ruku_ke_iktidal, , 
210811, 4056, -914, -1415, 80, f41ae450-4b9a-41b7-a442-d83dc3fa13f3, , transisi, transisi_ruku_ke_iktidal, , 
210854, 3879, -661, -1592, 80, f41ae450-4b9a-41b7-a442-d83dc3fa13f3, , transisi, transisi_ruku_ke_iktidal, , 
210897, 3823, -433, -1361, 80, f41ae450-4b9a-41b7-a442-d83dc3fa13f3, , transisi, transisi_ruku_ke_iktidal, , 
210941, 3921, -127, -1377, 80, f41ae450-4b9a-41b7-a442-d83dc3fa13f3, , transisi, transisi_ruku_ke_iktidal, , 
210974, 4108, -71, -1185, 80, f41ae450-4b9a-41b7-a442-d83dc3fa13f3, , transisi, transisi_ruku_ke_iktidal, , 
211008, 4277, -87, -976, 80, f41ae450-4b9a-41b7-a442-d83dc3fa13f3, , transisi, transisi_ruku_ke_iktidal, , 
211042, 4315, -276, -692, 80, f41ae450-4b9a-41b7-a442-d83dc3fa13f3, , transisi, transisi_ruku_ke_iktidal, , 
211076, 4526, -404, -349, 80, f41ae450-4b9a-41b7-a442-d83dc3fa13f3, , transisi, transisi_ruku_ke_iktidal, , 
211110, 4648, -851, -255, 80, f41ae450-4b9a-41b7-a442-d83dc3fa13f3, , transisi, transisi_ruku_ke_iktidal, , 
211143, 4527, -832, -755, 80, f41ae450-4b9a-41b7-a442-d83dc3fa13f3, , transisi, transisi_ruku_ke_iktidal, , 
211177, 4707, -933, -1122, 80, f41ae450-4b9a-41b7-a442-d83dc3fa13f3, , transisi, transisi_ruku_ke_iktidal, , 
211211, 5295, -1041, -1265, 80, f41ae450-4b9a-41b7-a442-d83dc3fa13f3, , transisi, transisi_ruku_ke_iktidal, , 
211245, 5581, -463, -1125, 80, f41ae450-4b9a-41b7-a442-d83dc3fa13f3, , transisi, transisi_ruku_ke_iktidal, , 
211279, 5177, -238, 1, 80, f41ae450-4b9a-41b7-a442-d83dc3fa13f3, , transisi, transisi_ruku_ke_iktidal, , 
211313, 4607, -103, 265, 80, f41ae450-4b9a-41b7-a442-d83dc3fa13f3, , transisi, transisi_ruku_ke_iktidal, , 
211351, 4396, 30, 374, 80, f41ae450-4b9a-41b7-a442-d83dc3fa13f3, , transisi, transisi_ruku_ke_iktidal, , 
211389, 3858, 231, 93, 80, f41ae450-4b9a-41b7-a442-d83dc3fa13f3, , transisi, transisi_ruku_ke_iktidal, , 
