185667, 3463, -199, -2680, 101, cafbb797-cba0-4f2c-8202-fb44f1854d72, , transisi, transisi_ruku_ke_iktidal, , 
185708, 3337, -596, -2806, 101, cafbb797-cba0-4f2c-8202-fb44f1854d72, , transisi, transisi_ruku_ke_iktidal, , 
185749, 3425, -146, -2584, 101, cafbb797-cba0-4f2c-8202-fb44f1854d72, , transisi, transisi_ruku_ke_iktidal, , 
185790, 3644, 66, -2702, 101, cafbb797-cba0-4f2c-8202-fb44f1854d72, , transisi, transisi_ruku_ke_iktidal, , 
185831, 3457, 3, -3076, 101, cafbb797-cba0-4f2c-8202-fb44f1854d72, , transisi, transisi_ruku_ke_iktidal, , 
185872, 3469, -346, -3249, 101, cafbb797-cba0-4f2c-8202-fb44f1854d72, , transisi, transisi_ruku_ke_iktidal, , 
185913, 3429, -105, -2846, 101, cafbb797-cba0-4f2c-8202-fb44f1854d72, , transisi, transisi_ruku_ke_iktidal, , 
185954, 3461, -553, -2769, 101, cafbb797-cba0-4f2c-8202-fb44f1854d72, , transisi, transisi_ruku_ke_iktidal, , 
185995, 3304, -412, -2274, 101, cafbb797-cba0-4f2c-8202-fb44f1854d72, , transisi, transisi_ruku_ke_iktidal, , 
186036, 3009, -40, -2938, 101, cafbb797-cba0-4f2c-8202-fb44f1854d72, , transisi, transisi_ruku_ke_iktidal, , 
186078, 3870, 134, -2885, 101, cafbb797-cba0-4f2c-8202-fb44f1854d72, , transisi, transisi_ruku_ke_iktidal, , 
186119, 3168, 190, -2422, 101, cafbb797-cba0-4f2c-8202-fb44f1854d72, , transisi, transisi_ruku_ke_iktidal, , 
186161, 3326, -47, -2683, 101, cafbb797-cba0-4f2c-8202-fb44f1854d72, , transisi, transisi_ruku_ke_iktidal, , 
186203, 3119, 372, -2610, 101, cafbb797-cba0-4f2c-8202-fb44f1854d72, , transisi, transisi_ruku_ke_iktidal, , 
186244, 3205, 589, -2691, 101, cafbb797-cba0-4f2c-8202-fb44f1854d72, , transisi, transisi_ruku_ke_iktidal, , 
186286, 3201, 465, -2423, 101, cafbb797-cba0-4f2c-8202-fb44f1854d72, , transisi, transisi_ruku_ke_iktidal, , 
186327, 3123, 927, -2237, 101, cafbb797-cba0-4f2c-8202-fb44f1854d72, , transisi, transisi_ruku_ke_iktidal, , 
186369, 3197, 786, -2333, 101, cafbb797-cba0-4f2c-8202-fb44f1854d72, , transisi, transisi_ruku_ke_iktidal, , 
186411, 3347, 548, -2120, 101, cafbb797-cba0-4f2c-8202-fb44f1854d72, , transisi, transisi_ruku_ke_iktidal, , 
186444, 3173, 987, -2012, 101, cafbb797-cba0-4f2c-8202-fb44f1854d72, , transisi, transisi_ruku_ke_iktidal, , 
186478, 3628, 697, -1831, 101, cafbb797-cba0-4f2c-8202-fb44f1854d72, , transisi, transisi_ruku_ke_iktidal, , 
186512, 3749, 1026, -1757, 101, cafbb797-cba0-4f2c-8202-fb44f1854d72, , transisi, transisi_ruku_ke_iktidal, , 
186546, 3822, 1579, -1573, 101, cafbb797-cba0-4f2c-8202-fb44f1854d72, , transisi, transisi_ruku_ke_iktidal, , 
186580, 3823, 1891, -1200, 101, cafbb797-cba0-4f2c-8202-fb44f1854d72, , transisi, transisi_ruku_ke_iktidal, , 
186614, 3519, 2586, -986, 101, cafbb797-cba0-4f2c-8202-fb44f1854d72, , transisi, transisi_ruku_ke_iktidal, , 
186648, 3364, 2791, -864, 101, cafbb797-cba0-4f2c-8202-fb44f1854d72, , transisi, transisi_ruku_ke_iktidal, , 
186682, 3460, 2683, -617, 101, cafbb797-cba0-4f2c-8202-fb44f1854d72, , transisi, transisi_ruku_ke_iktidal, , 
186716, 3152, 3514, -232, 101, cafbb797-cba0-4f2c-8202-fb44f1854d72, , transisi, transisi_ruku_ke_iktidal, , 
186750, 3340, 4201, -128, 101, cafbb797-cba0-4f2c-8202-fb44f1854d72, , transisi, transisi_ruku_ke_iktidal, , 
186784, 3349, 4408, 304, 101, cafbb797-cba0-4f2c-8202-fb44f1854d72, , transisi, transisi_ruku_ke_iktidal, , 
186826, 3128, 3753, 561, 101, cafbb797-cba0-4f2c-8202-fb44f1854d72, , transisi, transisi_ruku_ke_iktidal, , 
186868, 2610, 3796, 735, 101, cafbb797-cba0-4f2c-8202-fb44f1854d72, , transisi, transisi_ruku_ke_iktidal, , 
186911, 2071, 3488, 1010, 101, cafbb797-cba0-4f2c-8202-fb44f1854d72, , transisi, transisi_ruku_ke_iktidal, , 
186953, 1358, 3821, 1188, 101, cafbb797-cba0-4f2c-8202-fb44f1854d72, , transisi, transisi_ruku_ke_iktidal, , 
186996, 1016, 3617, 1545, 101, cafbb797-cba0-4f2c-8202-fb44f1854d72, , transisi, transisi_ruku_ke_iktidal, , 
