153442, 3342, -461, -2367, 110, ac37f454-9a37-48fe-9710-2eb3c39ec6d8, , transisi, transisi_ruku_ke_iktidal, , 
153481, 3450, -480, -2314, 110, ac37f454-9a37-48fe-9710-2eb3c39ec6d8, , transisi, transisi_ruku_ke_iktidal, , 
153520, 3634, -395, -2189, 110, ac37f454-9a37-48fe-9710-2eb3c39ec6d8, , transisi, transisi_ruku_ke_iktidal, , 
153566, 3478, -603, -2331, 109, ac37f454-9a37-48fe-9710-2eb3c39ec6d8, , transisi, transisi_ruku_ke_iktidal, , 
153613, 3495, -508, -2312, 109, ac37f454-9a37-48fe-9710-2eb3c39ec6d8, , transisi, transisi_ruku_ke_iktidal, , 
153659, 3513, -525, -2174, 109, ac37f454-9a37-48fe-9710-2eb3c39ec6d8, , transisi, transisi_ruku_ke_iktidal, , 
153706, 3496, -370, -2203, 109, ac37f454-9a37-48fe-9710-2eb3c39ec6d8, , transisi, transisi_ruku_ke_iktidal, , 
153753, 3588, -372, -2178, 109, ac37f454-9a37-48fe-9710-2eb3c39ec6d8, , transisi, transisi_ruku_ke_iktidal, , 
153799, 3610, -418, -2049, 109, ac37f454-9a37-48fe-9710-2eb3c39ec6d8, , transisi, transisi_ruku_ke_iktidal, , 
153846, 3654, -350, -1952, 109, ac37f454-9a37-48fe-9710-2eb3c39ec6d8, , transisi, transisi_ruku_ke_iktidal, , 
153892, 3709, -388, -1934, 109, ac37f454-9a37-48fe-9710-2eb3c39ec6d8, , transisi, transisi_ruku_ke_iktidal, , 
153939, 3817, -229, -1845, 109, ac37f454-9a37-48fe-9710-2eb3c39ec6d8, , transisi, transisi_ruku_ke_iktidal, , 
153986, 4096, -195, -1542, 109, ac37f454-9a37-48fe-9710-2eb3c39ec6d8, , transisi, transisi_ruku_ke_iktidal, , 
154018, 4066, -604, -1282, 109, ac37f454-9a37-48fe-9710-2eb3c39ec6d8, , transisi, transisi_ruku_ke_iktidal, , 
154050, 4293, -678, -1068, 109, ac37f454-9a37-48fe-9710-2eb3c39ec6d8, , transisi, transisi_ruku_ke_iktidal, , 
154083, 3957, -934, -1454, 109, ac37f454-9a37-48fe-9710-2eb3c39ec6d8, , transisi, transisi_ruku_ke_iktidal, , 
154115, 4278, -609, -1062, 109, ac37f454-9a37-48fe-9710-2eb3c39ec6d8, , transisi, transisi_ruku_ke_iktidal, , 
154147, 5071, -1038, -686, 109, ac37f454-9a37-48fe-9710-2eb3c39ec6d8, , transisi, transisi_ruku_ke_iktidal, , 
