101375, 3171, -1368, -2217, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
101416, 3227, -1352, -2162, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
101457, 3572, -1344, -2053, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
101492, 3429, -1230, -2163, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
101527, 3577, -1466, -2452, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
101563, 3521, -1713, -1956, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
101598, 3848, -1375, -2038, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
101633, 4055, -1218, -2100, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
101669, 4108, -1086, -2597, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
101704, 4204, -1044, -2195, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
101739, 4878, -74, -2041, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
101775, 4726, -368, -1430, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
101810, 4033, -545, -2082, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
101846, 3750, -1179, -2008, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
101888, 3867, -1061, -1438, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
101931, 3565, -145, -1904, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
101973, 3795, 13, -2014, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
