128233, 3050, -794, -2646, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
128275, 3036, -812, -2653, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
128318, 3051, -808, -2655, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
128360, 3115, -864, -2660, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
128403, 3302, -737, -2534, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
128434, 3506, -760, -2475, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
128465, 3767, -658, -2248, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
128497, 3650, -639, -2274, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
128528, 3526, -501, -2449, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
128560, 3343, -490, -2444, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
128591, 3591, -308, -2215, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
128622, 3716, -296, -2000, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
128654, 3807, -202, -1741, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
128685, 3794, -361, -1539, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
128717, 3919, -481, -2003, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
128753, 3745, -723, -2217, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
128789, 3598, 696, -612, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
128826, 4211, 678, -671, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
128862, 4701, 1352, -2793, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
128898, 5526, -916, -5157, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
128935, 4921, 83, -2413, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
128971, 4548, 1044, -1386, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
129007, 4372, 1599, -532, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
129044, 4332, 474, 8, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
129080, 3895, 689, 27, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
