89755, 3961, 252, -1636, 90, 63234159-9af3-476b-ba34-bfc0ee3ad74a, , transisi, transisi_ruku_ke_iktidal, , 
89792, 4060, 155, -1498, 90, 63234159-9af3-476b-ba34-bfc0ee3ad74a, , transisi, transisi_ruku_ke_iktidal, , 
89828, 4134, 159, -1436, 90, 63234159-9af3-476b-ba34-bfc0ee3ad74a, , transisi, transisi_ruku_ke_iktidal, , 
89864, 4300, -21, -1229, 90, 63234159-9af3-476b-ba34-bfc0ee3ad74a, , transisi, transisi_ruku_ke_iktidal, , 
89900, 4314, 118, -1018, 90, 63234159-9af3-476b-ba34-bfc0ee3ad74a, , transisi, transisi_ruku_ke_iktidal, , 
89936, 4274, 352, -1011, 90, 63234159-9af3-476b-ba34-bfc0ee3ad74a, , transisi, transisi_ruku_ke_iktidal, , 
89973, 4424, 464, -1288, 90, 63234159-9af3-476b-ba34-bfc0ee3ad74a, , transisi, transisi_ruku_ke_iktidal, , 
90011, 4439, 413, -1430, 90, 63234159-9af3-476b-ba34-bfc0ee3ad74a, , transisi, transisi_ruku_ke_iktidal, , 
90050, 4398, 293, -1584, 90, 63234159-9af3-476b-ba34-bfc0ee3ad74a, , transisi, transisi_ruku_ke_iktidal, , 
90089, 4320, 222, -1448, 90, 63234159-9af3-476b-ba34-bfc0ee3ad74a, , transisi, transisi_ruku_ke_iktidal, , 
90128, 4332, 71, -1392, 90, 63234159-9af3-476b-ba34-bfc0ee3ad74a, , transisi, transisi_ruku_ke_iktidal, , 
90167, 4245, 83, -1339, 90, 63234159-9af3-476b-ba34-bfc0ee3ad74a, , transisi, transisi_ruku_ke_iktidal, , 
90205, 4304, -71, -1265, 90, 63234159-9af3-476b-ba34-bfc0ee3ad74a, , transisi, transisi_ruku_ke_iktidal, , 
90244, 4271, -94, -1171, 90, 63234159-9af3-476b-ba34-bfc0ee3ad74a, , transisi, transisi_ruku_ke_iktidal, , 
90283, 4121, 93, -1206, 90, 63234159-9af3-476b-ba34-bfc0ee3ad74a, , transisi, transisi_ruku_ke_iktidal, , 
90322, 4132, 171, -943, 90, 63234159-9af3-476b-ba34-bfc0ee3ad74a, , transisi, transisi_ruku_ke_iktidal, , 
90361, 4123, -106, -561, 90, 63234159-9af3-476b-ba34-bfc0ee3ad74a, , transisi, transisi_ruku_ke_iktidal, , 
90399, 4115, 136, -639, 90, 63234159-9af3-476b-ba34-bfc0ee3ad74a, , transisi, transisi_ruku_ke_iktidal, , 
90438, 4002, 136, -801, 90, 63234159-9af3-476b-ba34-bfc0ee3ad74a, , transisi, transisi_ruku_ke_iktidal, , 
90477, 3682, 973, -484, 90, 63234159-9af3-476b-ba34-bfc0ee3ad74a, , transisi, transisi_ruku_ke_iktidal, , 
90516, 3689, 432, 74, 90, 63234159-9af3-476b-ba34-bfc0ee3ad74a, , transisi, transisi_ruku_ke_iktidal, , 
90555, 3508, 989, 56, 90, 63234159-9af3-476b-ba34-bfc0ee3ad74a, , transisi, transisi_ruku_ke_iktidal, , 
90593, 3514, 1493, 99, 90, 63234159-9af3-476b-ba34-bfc0ee3ad74a, , transisi, transisi_ruku_ke_iktidal, , 
90632, 3686, 1216, 262, 90, 63234159-9af3-476b-ba34-bfc0ee3ad74a, , transisi, transisi_ruku_ke_iktidal, , 
90671, 3714, 1901, 330, 90, 63234159-9af3-476b-ba34-bfc0ee3ad74a, , transisi, transisi_ruku_ke_iktidal, , 
90710, 3591, 1702, 552, 90, 63234159-9af3-476b-ba34-bfc0ee3ad74a, , transisi, transisi_ruku_ke_iktidal, , 
90749, 3742, 2529, 769, 90, 63234159-9af3-476b-ba34-bfc0ee3ad74a, , transisi, transisi_ruku_ke_iktidal, , 
90788, 3849, 2609, 1160, 90, 63234159-9af3-476b-ba34-bfc0ee3ad74a, , transisi, transisi_ruku_ke_iktidal, , 
90826, 4167, 3046, 1683, 90, 63234159-9af3-476b-ba34-bfc0ee3ad74a, , transisi, transisi_ruku_ke_iktidal, , 
90865, 4376, 3378, 1904, 90, 63234159-9af3-476b-ba34-bfc0ee3ad74a, , transisi, transisi_ruku_ke_iktidal, , 
90903, 4441, 4103, 2343, 90, 63234159-9af3-476b-ba34-bfc0ee3ad74a, , transisi, transisi_ruku_ke_iktidal, , 
90942, 4481, 4554, 2640, 90, 63234159-9af3-476b-ba34-bfc0ee3ad74a, , transisi, transisi_ruku_ke_iktidal, , 
90981, 3826, 4120, 2722, 90, 63234159-9af3-476b-ba34-bfc0ee3ad74a, , transisi, transisi_ruku_ke_iktidal, , 
91019, 2728, 3581, 2826, 90, 63234159-9af3-476b-ba34-bfc0ee3ad74a, , transisi, transisi_ruku_ke_iktidal, , 
91058, 1820, 3390, 2604, 90, 63234159-9af3-476b-ba34-bfc0ee3ad74a, , transisi, transisi_ruku_ke_iktidal, , 
91096, 699, 2432, 2018, 90, 63234159-9af3-476b-ba34-bfc0ee3ad74a, , transisi, transisi_ruku_ke_iktidal, , 
91135, -366, 1894, 1784, 90, 63234159-9af3-476b-ba34-bfc0ee3ad74a, , transisi, transisi_ruku_ke_iktidal, , 
91174, -971, 1778, 1439, 90, 63234159-9af3-476b-ba34-bfc0ee3ad74a, , transisi, transisi_ruku_ke_iktidal, , 
91210, -1658, 1070, 989, 90, 63234159-9af3-476b-ba34-bfc0ee3ad74a, , transisi, transisi_ruku_ke_iktidal, , 
91246, -1981, 738, 771, 90, 63234159-9af3-476b-ba34-bfc0ee3ad74a, , transisi, transisi_ruku_ke_iktidal, , 
91283, -2494, -134, 361, 90, 63234159-9af3-476b-ba34-bfc0ee3ad74a, , transisi, transisi_ruku_ke_iktidal, , 
91319, -2845, -515, 531, 90, 63234159-9af3-476b-ba34-bfc0ee3ad74a, , transisi, transisi_ruku_ke_iktidal, , 
91356, -3098, -1007, 196, 90, 63234159-9af3-476b-ba34-bfc0ee3ad74a, , transisi, transisi_ruku_ke_iktidal, , 
91392, -3160, -1458, 179, 90, 63234159-9af3-476b-ba34-bfc0ee3ad74a, , transisi, transisi_ruku_ke_iktidal, , 
91429, -3379, -1564, 346, 90, 63234159-9af3-476b-ba34-bfc0ee3ad74a, , transisi, transisi_ruku_ke_iktidal, , 
91465, -3469, -1471, 573, 90, 63234159-9af3-476b-ba34-bfc0ee3ad74a, , transisi, transisi_ruku_ke_iktidal, , 
91502, -3651, -1294, 718, 90, 63234159-9af3-476b-ba34-bfc0ee3ad74a, , transisi, transisi_ruku_ke_iktidal, , 
91538, -3761, -1160, 924, 90, 63234159-9af3-476b-ba34-bfc0ee3ad74a, , transisi, transisi_ruku_ke_iktidal, , 
91575, -3732, -1016, 785, 90, 63234159-9af3-476b-ba34-bfc0ee3ad74a, , transisi, transisi_ruku_ke_iktidal, , 
91619, -3765, -956, 888, 91, 63234159-9af3-476b-ba34-bfc0ee3ad74a, , transisi, transisi_ruku_ke_iktidal, , 
91663, -3669, -1157, 765, 91, 63234159-9af3-476b-ba34-bfc0ee3ad74a, , transisi, transisi_ruku_ke_iktidal, , 
91707, -3593, -1279, 519, 91, 63234159-9af3-476b-ba34-bfc0ee3ad74a, , transisi, transisi_ruku_ke_iktidal, , 
91752, -3323, -1340, 528, 91, 63234159-9af3-476b-ba34-bfc0ee3ad74a, , transisi, transisi_ruku_ke_iktidal, , 
91796, -2908, -1427, 431, 91, 63234159-9af3-476b-ba34-bfc0ee3ad74a, , transisi, transisi_ruku_ke_iktidal, , 
91840, -2615, -1535, 61, 91, 63234159-9af3-476b-ba34-bfc0ee3ad74a, , transisi, transisi_ruku_ke_iktidal, , 
91885, -2147, -1208, 398, 91, 63234159-9af3-476b-ba34-bfc0ee3ad74a, , transisi, transisi_ruku_ke_iktidal, , 
91929, -2117, -561, 492, 91, 63234159-9af3-476b-ba34-bfc0ee3ad74a, , transisi, transisi_ruku_ke_iktidal, , 
91973, -1700, -10, 612, 91, 63234159-9af3-476b-ba34-bfc0ee3ad74a, , transisi, transisi_ruku_ke_iktidal, , 
92018, -968, 571, 1358, 91, 63234159-9af3-476b-ba34-bfc0ee3ad74a, , transisi, transisi_ruku_ke_iktidal, , 
92053, -599, 1268, 1894, 91, 63234159-9af3-476b-ba34-bfc0ee3ad74a, , transisi, transisi_ruku_ke_iktidal, , 
92088, 124, 2640, 2801, 91, 63234159-9af3-476b-ba34-bfc0ee3ad74a, , transisi, transisi_ruku_ke_iktidal, , 
92124, 1299, 3287, 3882, 91, 63234159-9af3-476b-ba34-bfc0ee3ad74a, , transisi, transisi_ruku_ke_iktidal, , 
92159, 1601, 4207, 3963, 91, 63234159-9af3-476b-ba34-bfc0ee3ad74a, , transisi, transisi_ruku_ke_iktidal, , 
92195, 1787, 3328, 4285, 91, 63234159-9af3-476b-ba34-bfc0ee3ad74a, , transisi, transisi_ruku_ke_iktidal, , 
92230, 2725, 4257, 4037, 91, 63234159-9af3-476b-ba34-bfc0ee3ad74a, , transisi, transisi_ruku_ke_iktidal, , 
92265, 2940, 3409, 3227, 91, 63234159-9af3-476b-ba34-bfc0ee3ad74a, , transisi, transisi_ruku_ke_iktidal, , 
92301, 2667, 3632, 2363, 91, 63234159-9af3-476b-ba34-bfc0ee3ad74a, , transisi, transisi_ruku_ke_iktidal, , 
92336, 3013, 2642, 2393, 91, 63234159-9af3-476b-ba34-bfc0ee3ad74a, , transisi, transisi_ruku_ke_iktidal, , 
92372, 3716, 3629, 1755, 91, 63234159-9af3-476b-ba34-bfc0ee3ad74a, , transisi, transisi_ruku_ke_iktidal, , 
92411, 3943, 2050, 2018, 91, 63234159-9af3-476b-ba34-bfc0ee3ad74a, , transisi, transisi_ruku_ke_iktidal, , 
92450, 4407, 1999, 2483, 91, 63234159-9af3-476b-ba34-bfc0ee3ad74a, , transisi, transisi_ruku_ke_iktidal, , 
92490, 4307, 2682, 1167, 91, 63234159-9af3-476b-ba34-bfc0ee3ad74a, , transisi, transisi_ruku_ke_iktidal, , 
92529, 3602, 3881, 120, 91, 63234159-9af3-476b-ba34-bfc0ee3ad74a, , transisi, transisi_ruku_ke_iktidal, , 
92569, 3730, 3167, 1038, 91, 63234159-9af3-476b-ba34-bfc0ee3ad74a, , transisi, transisi_ruku_ke_iktidal, , 
92608, 3746, 1296, 1003, 91, 63234159-9af3-476b-ba34-bfc0ee3ad74a, , transisi, transisi_ruku_ke_iktidal, , 
92648, 3687, 1589, 784, 91, 63234159-9af3-476b-ba34-bfc0ee3ad74a, , transisi, transisi_ruku_ke_iktidal, , 
92687, 3708, 1742, 801, 91, 63234159-9af3-476b-ba34-bfc0ee3ad74a, , transisi, transisi_ruku_ke_iktidal, , 
92727, 3684, 2103, 615, 91, 63234159-9af3-476b-ba34-bfc0ee3ad74a, , transisi, transisi_ruku_ke_iktidal, , 
