57655, 3116, -527, -2580, 59, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
57695, 3181, -637, -2594, 59, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
57735, 3183, -856, -2467, 59, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
57774, 3091, -554, -2684, 59, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
57814, 3153, -604, -2466, 59, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
57854, 3207, -715, -2584, 59, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
57893, 3195, -870, -2535, 59, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
57933, 3193, -902, -2522, 59, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
57973, 3212, -945, -2338, 59, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
58013, 3235, -1083, -2343, 59, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
58058, 3160, -884, -2406, 59, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
58103, 3221, -726, -2429, 59, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
58148, 3202, -809, -2467, 59, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
58193, 3167, -946, -2362, 59, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
58238, 3226, -949, -2393, 59, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
58283, 3189, -791, -2549, 59, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
58328, 3243, -1109, -2261, 59, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
58373, 3087, -994, -2361, 59, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
58418, 3195, -1066, -2398, 59, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
