55478, 2739, -1925, -2391, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
55518, 2886, -1906, -2345, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
55558, 3266, -1892, -2247, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
55598, 3373, -1915, -2107, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
55638, 3424, -2055, -1896, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
55678, 3362, -2073, -1930, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
55718, 3375, -2123, -2278, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
55758, 3140, -1697, -2024, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
55798, 3333, -1667, -1818, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
55838, 3490, -1881, -1696, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
55879, 3502, -1822, -1874, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
55920, 3338, -2266, -2034, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
55961, 3168, -1858, -2178, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
56002, 3300, -1528, -1773, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
56043, 4009, -1363, -1534, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
56085, 4711, -2071, -2415, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
56126, 5026, -2261, -3256, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
56167, 4755, -759, -932, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
56208, 4185, -747, -599, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
56249, 3928, -755, -799, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
56291, 3777, -813, -893, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
56325, 3868, -988, -807, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
56359, 3687, -501, -500, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
56393, 3798, -871, -93, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
56428, 3796, -527, -133, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
56462, 3761, -287, -75, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
56496, 3753, 32, -43, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
56531, 3770, 279, 172, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
56565, 4092, 263, 404, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
56599, 4642, 201, 1005, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
56634, 5212, 373, 543, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
56669, 5254, 1028, 444, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
56705, 5014, 1407, 957, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
56740, 4967, 2088, 1894, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
56776, 4611, 2454, 2125, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
56811, 3543, 2309, 1824, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
56847, 3063, 2519, 1770, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
56882, 1920, 1985, 1715, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
56918, 1266, 1985, 1653, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
56953, -202, 1151, 1343, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
56989, -306, 2271, 2402, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
57025, -745, 1730, 2654, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
57067, -841, 1809, 2614, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
57109, -1152, 1597, 2580, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
57151, -1512, 1745, 2793, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
57193, -1945, 1492, 2922, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
57236, -2098, 1803, 3113, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
57278, -2577, 933, 2385, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
57320, -3236, 1399, 2066, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
57362, -3336, 685, 1437, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
57404, -3154, 719, 1820, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
57447, -2811, 1008, 1885, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
57485, -2567, 1224, 2001, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
57524, -2440, 789, 1620, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
57562, -1823, 1103, 2021, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
57601, -1453, 620, 1548, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
57640, -803, 826, 1606, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
57678, 484, 1603, 2491, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
57717, 645, 1224, 1790, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
57755, 2130, 1471, 2835, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
57794, 2316, 1013, 1225, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
57833, 4516, -342, 1233, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
57870, 6489, -994, 403, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
57907, 8458, -1460, 176, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
57944, 9816, 570, -791, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
57981, 8539, 1654, -2044, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
58018, 6127, 1907, -1409, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
58055, 4303, 962, -384, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
58092, 3862, 495, -129, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
58129, 4370, -12, -71, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
58166, 3820, 520, -442, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
58203, 3631, 1037, -877, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
58240, 3737, 792, -711, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
58279, 4211, -161, -311, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
58318, 4484, -291, 319, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
58357, 4238, -1326, 307, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
58396, 4049, -497, -293, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
58436, 4152, -1355, -88, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
58475, 3995, -1476, -280, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
58514, 3894, -1478, -462, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
58553, 3878, -891, -692, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
58592, 3957, -1166, -352, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
58632, 4048, -866, -336, 97, 6c7e8a05-927e-45b0-ab75-93ec4432728d, , transisi, transisi_ruku_ke_iktidal, , 
