101022, 3631, 257, -2178, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
101060, 3763, 6, -2087, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
101099, 3890, 202, -1938, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
101138, 4066, 267, -2146, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
101176, 4011, 121, -1915, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
101215, 3744, 509, -2009, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
101253, 3738, 458, -1842, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
101292, 3824, 394, -1508, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
101331, 3857, 413, -1383, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
101369, 3819, 501, -1414, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
101408, 4025, 236, -1806, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
101447, 3729, 140, -1885, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
101485, 3758, 764, -1380, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
101524, 3957, 1339, -1497, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
101562, 4396, 1327, -1876, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
