267855, 3820, -627, -1628, 74, 326830f3-309e-4ff3-bea4-fdb3bab6bfa5, , transisi, transisi_ruku_ke_iktidal, , 
267898, 3834, -614, -1521, 74, 326830f3-309e-4ff3-bea4-fdb3bab6bfa5, , transisi, transisi_ruku_ke_iktidal, , 
267940, 3860, -733, -1490, 74, 326830f3-309e-4ff3-bea4-fdb3bab6bfa5, , transisi, transisi_ruku_ke_iktidal, , 
267983, 3971, -363, -1427, 74, 326830f3-309e-4ff3-bea4-fdb3bab6bfa5, , transisi, transisi_ruku_ke_iktidal, , 
268025, 4010, -226, -1340, 74, 326830f3-309e-4ff3-bea4-fdb3bab6bfa5, , transisi, transisi_ruku_ke_iktidal, , 
268068, 4340, -326, -743, 74, 326830f3-309e-4ff3-bea4-fdb3bab6bfa5, , transisi, transisi_ruku_ke_iktidal, , 
268110, 4586, -608, -657, 74, 326830f3-309e-4ff3-bea4-fdb3bab6bfa5, , transisi, transisi_ruku_ke_iktidal, , 
268153, 4391, -652, -345, 74, 326830f3-309e-4ff3-bea4-fdb3bab6bfa5, , transisi, transisi_ruku_ke_iktidal, , 
268189, 4276, -495, -740, 74, 326830f3-309e-4ff3-bea4-fdb3bab6bfa5, , transisi, transisi_ruku_ke_iktidal, , 
268226, 4893, -655, -1279, 74, 326830f3-309e-4ff3-bea4-fdb3bab6bfa5, , transisi, transisi_ruku_ke_iktidal, , 
268262, 4893, -782, -1523, 74, 326830f3-309e-4ff3-bea4-fdb3bab6bfa5, , transisi, transisi_ruku_ke_iktidal, , 
268299, 4913, -1386, -1059, 74, 326830f3-309e-4ff3-bea4-fdb3bab6bfa5, , transisi, transisi_ruku_ke_iktidal, , 
268336, 5274, -223, -1543, 74, 326830f3-309e-4ff3-bea4-fdb3bab6bfa5, , transisi, transisi_ruku_ke_iktidal, , 
268372, 4935, -51, -1086, 74, 326830f3-309e-4ff3-bea4-fdb3bab6bfa5, , transisi, transisi_ruku_ke_iktidal, , 
268409, 4399, -85, -891, 74, 326830f3-309e-4ff3-bea4-fdb3bab6bfa5, , transisi, transisi_ruku_ke_iktidal, , 
268445, 3847, -458, -642, 74, 326830f3-309e-4ff3-bea4-fdb3bab6bfa5, , transisi, transisi_ruku_ke_iktidal, , 
