300077, 3552, -410, -2158, 97, 00a2bd24-f475-443c-91a8-23abe995b0c9, , transisi, transisi_ruku_ke_iktidal, , 
300119, 3723, -382, -2029, 97, 00a2bd24-f475-443c-91a8-23abe995b0c9, , transisi, transisi_ruku_ke_iktidal, , 
300162, 3760, -421, -2061, 97, 00a2bd24-f475-443c-91a8-23abe995b0c9, , transisi, transisi_ruku_ke_iktidal, , 
300204, 3719, -424, -2097, 97, 00a2bd24-f475-443c-91a8-23abe995b0c9, , transisi, transisi_ruku_ke_iktidal, , 
300247, 3646, -355, -2040, 97, 00a2bd24-f475-443c-91a8-23abe995b0c9, , transisi, transisi_ruku_ke_iktidal, , 
300289, 3580, -415, -1980, 97, 00a2bd24-f475-443c-91a8-23abe995b0c9, , transisi, transisi_ruku_ke_iktidal, , 
300332, 3665, -341, -2024, 97, 00a2bd24-f475-443c-91a8-23abe995b0c9, , transisi, transisi_ruku_ke_iktidal, , 
300375, 3643, -320, -1940, 97, 00a2bd24-f475-443c-91a8-23abe995b0c9, , transisi, transisi_ruku_ke_iktidal, , 
300411, 3814, -331, -1714, 97, 00a2bd24-f475-443c-91a8-23abe995b0c9, , transisi, transisi_ruku_ke_iktidal, , 
300447, 3803, -278, -1690, 97, 00a2bd24-f475-443c-91a8-23abe995b0c9, , transisi, transisi_ruku_ke_iktidal, , 
300483, 3986, -269, -1471, 97, 00a2bd24-f475-443c-91a8-23abe995b0c9, , transisi, transisi_ruku_ke_iktidal, , 
300519, 4036, -458, -1201, 97, 00a2bd24-f475-443c-91a8-23abe995b0c9, , transisi, transisi_ruku_ke_iktidal, , 
300555, 4286, -233, -919, 97, 00a2bd24-f475-443c-91a8-23abe995b0c9, , transisi, transisi_ruku_ke_iktidal, , 
300591, 4321, -754, -652, 97, 00a2bd24-f475-443c-91a8-23abe995b0c9, , transisi, transisi_ruku_ke_iktidal, , 
300627, 3917, -1284, -978, 97, 00a2bd24-f475-443c-91a8-23abe995b0c9, , transisi, transisi_ruku_ke_iktidal, , 
300663, 4290, -96, -588, 97, 00a2bd24-f475-443c-91a8-23abe995b0c9, , transisi, transisi_ruku_ke_iktidal, , 
300699, 4263, -506, -549, 97, 00a2bd24-f475-443c-91a8-23abe995b0c9, , transisi, transisi_ruku_ke_iktidal, , 
300736, 4517, -410, -1459, 97, 00a2bd24-f475-443c-91a8-23abe995b0c9, , transisi, transisi_ruku_ke_iktidal, , 
300778, 5283, -637, -1750, 97, 00a2bd24-f475-443c-91a8-23abe995b0c9, , transisi, transisi_ruku_ke_iktidal, , 
300820, 5603, -334, -1548, 97, 00a2bd24-f475-443c-91a8-23abe995b0c9, , transisi, transisi_ruku_ke_iktidal, , 
300862, 5529, 63, -950, 97, 00a2bd24-f475-443c-91a8-23abe995b0c9, , transisi, transisi_ruku_ke_iktidal, , 
300904, 5010, 216, -357, 97, 00a2bd24-f475-443c-91a8-23abe995b0c9, , transisi, transisi_ruku_ke_iktidal, , 
300946, 4879, 572, -72, 97, 00a2bd24-f475-443c-91a8-23abe995b0c9, , transisi, transisi_ruku_ke_iktidal, , 
300988, 4701, 1036, 116, 97, 00a2bd24-f475-443c-91a8-23abe995b0c9, , transisi, transisi_ruku_ke_iktidal, , 
301030, 4408, 1417, 292, 97, 00a2bd24-f475-443c-91a8-23abe995b0c9, , transisi, transisi_ruku_ke_iktidal, , 
301072, 4288, 1672, 414, 97, 00a2bd24-f475-443c-91a8-23abe995b0c9, , transisi, transisi_ruku_ke_iktidal, , 
301114, 3569, 2233, 522, 97, 00a2bd24-f475-443c-91a8-23abe995b0c9, , transisi, transisi_ruku_ke_iktidal, , 
301157, 3295, 2887, 904, 97, 00a2bd24-f475-443c-91a8-23abe995b0c9, , transisi, transisi_ruku_ke_iktidal, , 
301191, 2945, 3008, 1906, 97, 00a2bd24-f475-443c-91a8-23abe995b0c9, , transisi, transisi_ruku_ke_iktidal, , 
301225, 2834, 3308, 2591, 97, 00a2bd24-f475-443c-91a8-23abe995b0c9, , transisi, transisi_ruku_ke_iktidal, , 
301259, 2837, 3670, 2778, 97, 00a2bd24-f475-443c-91a8-23abe995b0c9, , transisi, transisi_ruku_ke_iktidal, , 
301294, 2561, 3993, 2993, 97, 00a2bd24-f475-443c-91a8-23abe995b0c9, , transisi, transisi_ruku_ke_iktidal, , 
301328, 2116, 3497, 2868, 97, 00a2bd24-f475-443c-91a8-23abe995b0c9, , transisi, transisi_ruku_ke_iktidal, , 
301362, 1674, 3488, 2269, 97, 00a2bd24-f475-443c-91a8-23abe995b0c9, , transisi, transisi_ruku_ke_iktidal, , 
301396, 463, 1487, 925, 97, 00a2bd24-f475-443c-91a8-23abe995b0c9, , transisi, transisi_ruku_ke_iktidal, , 
301431, -1019, -509, -269, 97, 00a2bd24-f475-443c-91a8-23abe995b0c9, , transisi, transisi_ruku_ke_iktidal, , 
301465, -1587, -1246, -456, 97, 00a2bd24-f475-443c-91a8-23abe995b0c9, , transisi, transisi_ruku_ke_iktidal, , 
301499, -2122, -1464, -274, 97, 00a2bd24-f475-443c-91a8-23abe995b0c9, , transisi, transisi_ruku_ke_iktidal, , 
301534, -2280, -1553, -195, 97, 00a2bd24-f475-443c-91a8-23abe995b0c9, , transisi, transisi_ruku_ke_iktidal, , 
301574, -2017, -1348, 144, 97, 00a2bd24-f475-443c-91a8-23abe995b0c9, , transisi, transisi_ruku_ke_iktidal, , 
301614, -962, -1025, 377, 97, 00a2bd24-f475-443c-91a8-23abe995b0c9, , transisi, transisi_ruku_ke_iktidal, , 
301654, -22, -911, 157, 97, 00a2bd24-f475-443c-91a8-23abe995b0c9, , transisi, transisi_ruku_ke_iktidal, , 
301694, 1349, -783, -223, 97, 00a2bd24-f475-443c-91a8-23abe995b0c9, , transisi, transisi_ruku_ke_iktidal, , 
301734, 3141, 530, -318, 97, 00a2bd24-f475-443c-91a8-23abe995b0c9, , transisi, transisi_ruku_ke_iktidal, , 
301774, 6107, 3180, -538, 97, 00a2bd24-f475-443c-91a8-23abe995b0c9, , transisi, transisi_ruku_ke_iktidal, , 
301814, 7625, -756, -2309, 97, 00a2bd24-f475-443c-91a8-23abe995b0c9, , transisi, transisi_ruku_ke_iktidal, , 
301854, 13208, -1578, -1208, 97, 00a2bd24-f475-443c-91a8-23abe995b0c9, , transisi, transisi_ruku_ke_iktidal, , 
301894, 14044, 1382, 577, 97, 00a2bd24-f475-443c-91a8-23abe995b0c9, , transisi, transisi_ruku_ke_iktidal, , 
301935, 9259, 2891, -2499, 97, 00a2bd24-f475-443c-91a8-23abe995b0c9, , transisi, transisi_ruku_ke_iktidal, , 
301968, 5119, 2896, -927, 97, 00a2bd24-f475-443c-91a8-23abe995b0c9, , transisi, transisi_ruku_ke_iktidal, , 
302002, 6820, 146, -1584, 97, 00a2bd24-f475-443c-91a8-23abe995b0c9, , transisi, transisi_ruku_ke_iktidal, , 
302035, 5370, 1601, -1810, 97, 00a2bd24-f475-443c-91a8-23abe995b0c9, , transisi, transisi_ruku_ke_iktidal, , 
302069, 4431, 3529, -1035, 97, 00a2bd24-f475-443c-91a8-23abe995b0c9, , transisi, transisi_ruku_ke_iktidal, , 
302102, 3288, 2411, -65, 97, 00a2bd24-f475-443c-91a8-23abe995b0c9, , transisi, transisi_ruku_ke_iktidal, , 
302136, 3102, 1636, -182, 97, 00a2bd24-f475-443c-91a8-23abe995b0c9, , transisi, transisi_ruku_ke_iktidal, , 
302169, 3654, 2316, -43, 97, 00a2bd24-f475-443c-91a8-23abe995b0c9, , transisi, transisi_ruku_ke_iktidal, , 
302203, 4793, 1771, 781, 97, 00a2bd24-f475-443c-91a8-23abe995b0c9, , transisi, transisi_ruku_ke_iktidal, , 
302236, 5027, 1020, 307, 97, 00a2bd24-f475-443c-91a8-23abe995b0c9, , transisi, transisi_ruku_ke_iktidal, , 
302270, 4609, 220, 324, 97, 00a2bd24-f475-443c-91a8-23abe995b0c9, , transisi, transisi_ruku_ke_iktidal, , 
302304, 6625, 72, 47, 97, 00a2bd24-f475-443c-91a8-23abe995b0c9, , transisi, transisi_ruku_ke_iktidal, , 
302348, 4423, -61, -2075, 96, 00a2bd24-f475-443c-91a8-23abe995b0c9, , transisi, transisi_ruku_ke_iktidal, , 
302393, 1117, -3884, -10139, 96, 00a2bd24-f475-443c-91a8-23abe995b0c9, , transisi, transisi_ruku_ke_iktidal, , 
302438, 4456, -3333, -1485, 96, 00a2bd24-f475-443c-91a8-23abe995b0c9, , transisi, transisi_ruku_ke_iktidal, , 
302483, 4439, 3273, -823, 96, 00a2bd24-f475-443c-91a8-23abe995b0c9, , transisi, transisi_ruku_ke_iktidal, , 
302528, 4289, 2218, -1081, 96, 00a2bd24-f475-443c-91a8-23abe995b0c9, , transisi, transisi_ruku_ke_iktidal, , 
302573, 3761, 1143, -1132, 96, 00a2bd24-f475-443c-91a8-23abe995b0c9, , transisi, transisi_ruku_ke_iktidal, , 
302618, 3788, 651, -540, 96, 00a2bd24-f475-443c-91a8-23abe995b0c9, , transisi, transisi_ruku_ke_iktidal, , 
