88906, 2922, -1369, -2575, 108, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
88948, 3062, -1467, -2548, 108, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
88990, 3111, -1099, -2281, 108, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
89032, 3446, -1224, -2789, 108, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
89074, 3050, -1361, -2473, 108, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
89116, 3089, -1258, -2137, 108, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
89158, 3221, -1134, -2308, 108, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
89200, 3430, -930, -2290, 108, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
89239, 3379, -1239, -2102, 108, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
89278, 3363, -1357, -2039, 108, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
89317, 3422, -1199, -1936, 108, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
89356, 3489, -947, -2085, 108, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
89396, 3594, -900, -2947, 108, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
89435, 3256, -1369, -2939, 108, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
89474, 3695, -1081, -1899, 108, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
89513, 3451, -1611, -1476, 108, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
