208225, 3165, -1379, -2474, 104, b00adef8-9181-4e04-a50a-0531bd557d53, , transisi, transisi_ruku_ke_iktidal, , 
208272, 3470, -1206, -2452, 104, b00adef8-9181-4e04-a50a-0531bd557d53, , transisi, transisi_ruku_ke_iktidal, , 
208319, 3944, -741, -1851, 104, b00adef8-9181-4e04-a50a-0531bd557d53, , transisi, transisi_ruku_ke_iktidal, , 
208348, 4139, -1033, -1661, 104, b00adef8-9181-4e04-a50a-0531bd557d53, , transisi, transisi_ruku_ke_iktidal, , 
208378, 4088, -918, -1754, 104, b00adef8-9181-4e04-a50a-0531bd557d53, , transisi, transisi_ruku_ke_iktidal, , 
208408, 3810, -819, -1919, 104, b00adef8-9181-4e04-a50a-0531bd557d53, , transisi, transisi_ruku_ke_iktidal, , 
208437, 3794, -907, -1846, 104, b00adef8-9181-4e04-a50a-0531bd557d53, , transisi, transisi_ruku_ke_iktidal, , 
208467, 3799, -845, -1498, 104, b00adef8-9181-4e04-a50a-0531bd557d53, , transisi, transisi_ruku_ke_iktidal, , 
208497, 3775, -988, -1373, 104, b00adef8-9181-4e04-a50a-0531bd557d53, , transisi, transisi_ruku_ke_iktidal, , 
208527, 3937, -1096, -1485, 104, b00adef8-9181-4e04-a50a-0531bd557d53, , transisi, transisi_ruku_ke_iktidal, , 
208556, 4145, -2023, -2007, 104, b00adef8-9181-4e04-a50a-0531bd557d53, , transisi, transisi_ruku_ke_iktidal, , 
208586, 3509, -2039, -2097, 104, b00adef8-9181-4e04-a50a-0531bd557d53, , transisi, transisi_ruku_ke_iktidal, , 
208616, 3866, -1061, -1478, 104, b00adef8-9181-4e04-a50a-0531bd557d53, , transisi, transisi_ruku_ke_iktidal, , 
208646, 4152, -109, -1623, 104, b00adef8-9181-4e04-a50a-0531bd557d53, , transisi, transisi_ruku_ke_iktidal, , 
208686, 5482, -78, -2239, 104, b00adef8-9181-4e04-a50a-0531bd557d53, , transisi, transisi_ruku_ke_iktidal, , 
208727, 5359, 438, -1277, 104, b00adef8-9181-4e04-a50a-0531bd557d53, , transisi, transisi_ruku_ke_iktidal, , 
