233917, 3419, -1522, -2023, 68, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
233950, 3258, -1637, -2021, 68, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
233983, 3147, -1582, -2118, 68, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
234016, 3126, -1550, -2149, 68, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
234049, 3132, -1610, -2135, 68, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
234087, 3189, -1553, -2127, 68, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
234126, 3243, -1541, -2089, 68, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
234164, 3303, -1638, -2028, 68, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
234203, 3255, -1613, -2071, 68, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
234242, 3263, -1647, -2085, 68, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
234280, 3287, -1621, -2144, 68, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
234319, 3393, -1603, -2000, 68, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
234357, 3428, -1781, -2071, 68, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
234396, 3401, -1543, -2015, 68, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
234435, 3733, -1268, -2075, 68, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
234471, 3736, -1152, -1863, 67, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
234508, 3784, -1672, -1748, 67, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
234545, 3880, -1392, -2322, 67, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
234582, 3753, -1160, -1983, 67, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
234619, 3729, -996, -2025, 67, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
234655, 4238, -1013, -1954, 67, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
234692, 3924, -948, -1907, 67, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
234729, 4037, -909, -1715, 67, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
234766, 3614, -989, -2158, 67, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
234803, 3526, -1003, -2045, 67, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
234840, 3641, -979, -1701, 67, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
234882, 3653, -634, -1718, 67, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
234924, 3702, -308, -1497, 67, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
234967, 3770, -280, -1414, 67, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
235009, 3671, -149, -1387, 67, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
235052, 3637, -280, -1173, 67, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
235094, 3630, -103, -1073, 67, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
235136, 3733, -120, -864, 67, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
235179, 3936, 240, -904, 67, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
235221, 3823, -106, -806, 67, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
235264, 3833, 57, -892, 67, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
235301, 3831, -26, -775, 67, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
235338, 3808, 141, -684, 67, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
235375, 3845, 131, -592, 67, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
235412, 3939, 308, -338, 67, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
235449, 4193, 687, -347, 67, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
235486, 4375, 742, -419, 67, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
235523, 4180, 752, -401, 67, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
235560, 4072, 1244, -347, 67, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
235597, 4225, 1911, -533, 67, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
235634, 4793, 1804, -29, 67, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
235671, 5000, 1867, -40, 67, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
235708, 4649, 2370, 45, 67, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
235745, 4310, 2709, -102, 67, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
235782, 3827, 2992, 260, 67, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
235819, 3196, 3180, 594, 67, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
235856, 2680, 3624, 618, 67, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
235893, 1959, 3985, 818, 67, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
235930, 1470, 3724, 1555, 67, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
235967, 1011, 3878, 1662, 67, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
236004, 389, 3763, 1868, 67, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
236041, -84, 3399, 2116, 67, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
236080, -441, 3440, 2074, 67, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
236119, -1050, 2879, 2027, 67, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
236158, -1513, 2960, 1733, 67, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
236197, -2037, 2145, 1554, 67, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
236236, -2486, 2078, 1457, 67, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
236275, -2638, 1539, 1141, 67, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
236314, -3041, 901, 1128, 67, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
236353, -3161, 897, 1007, 67, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
236392, -3347, -143, 742, 67, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
236431, -3413, 264, 710, 67, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
236467, -3326, -411, 1014, 68, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
236504, -3414, -1106, 992, 68, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
236540, -3442, -1276, 837, 68, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
236577, -3516, -1729, 724, 68, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
236614, -3477, -1725, 718, 68, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
236650, -3316, -1667, 607, 68, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
236687, -3253, -2037, 248, 68, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
236724, -2950, -2007, 380, 68, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
236760, -2889, -2234, 204, 68, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
236797, -2689, -2450, -63, 68, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
236834, -2330, -2602, 50, 68, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
236876, -1937, -2474, -153, 68, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
