122926, 3762, -545, -1477, 88, cbc0e461-3693-4f21-821a-0cf4142643d0, , transisi, transisi_ruku_ke_iktidal, , 
122964, 3708, -709, -1512, 88, cbc0e461-3693-4f21-821a-0cf4142643d0, , transisi, transisi_ruku_ke_iktidal, , 
123002, 3773, -738, -1811, 88, cbc0e461-3693-4f21-821a-0cf4142643d0, , transisi, transisi_ruku_ke_iktidal, , 
123040, 3817, -610, -1645, 88, cbc0e461-3693-4f21-821a-0cf4142643d0, , transisi, transisi_ruku_ke_iktidal, , 
123078, 3908, -615, -1545, 88, cbc0e461-3693-4f21-821a-0cf4142643d0, , transisi, transisi_ruku_ke_iktidal, , 
123116, 3980, -549, -1401, 88, cbc0e461-3693-4f21-821a-0cf4142643d0, , transisi, transisi_ruku_ke_iktidal, , 
123154, 4204, -486, -1103, 88, cbc0e461-3693-4f21-821a-0cf4142643d0, , transisi, transisi_ruku_ke_iktidal, , 
123192, 4307, -650, -739, 88, cbc0e461-3693-4f21-821a-0cf4142643d0, , transisi, transisi_ruku_ke_iktidal, , 
123230, 4643, -968, -251, 88, cbc0e461-3693-4f21-821a-0cf4142643d0, , transisi, transisi_ruku_ke_iktidal, , 
123268, 3601, -1483, -97, 88, cbc0e461-3693-4f21-821a-0cf4142643d0, , transisi, transisi_ruku_ke_iktidal, , 
123307, 3614, -467, -994, 88, cbc0e461-3693-4f21-821a-0cf4142643d0, , transisi, transisi_ruku_ke_iktidal, , 
123345, 4432, -737, -737, 88, cbc0e461-3693-4f21-821a-0cf4142643d0, , transisi, transisi_ruku_ke_iktidal, , 
123383, 4790, -857, -34, 88, cbc0e461-3693-4f21-821a-0cf4142643d0, , transisi, transisi_ruku_ke_iktidal, , 
123421, 6654, -2146, -617, 88, cbc0e461-3693-4f21-821a-0cf4142643d0, , transisi, transisi_ruku_ke_iktidal, , 
123459, 7878, -355, -703, 88, cbc0e461-3693-4f21-821a-0cf4142643d0, , transisi, transisi_ruku_ke_iktidal, , 
123497, 4888, 446, 138, 88, cbc0e461-3693-4f21-821a-0cf4142643d0, , transisi, transisi_ruku_ke_iktidal, , 
123535, 3808, 190, 358, 88, cbc0e461-3693-4f21-821a-0cf4142643d0, , transisi, transisi_ruku_ke_iktidal, , 
123573, 3990, 827, 278, 88, cbc0e461-3693-4f21-821a-0cf4142643d0, , transisi, transisi_ruku_ke_iktidal, , 
123611, 4565, 1354, 761, 88, cbc0e461-3693-4f21-821a-0cf4142643d0, , transisi, transisi_ruku_ke_iktidal, , 
123649, 4666, 1796, 671, 88, cbc0e461-3693-4f21-821a-0cf4142643d0, , transisi, transisi_ruku_ke_iktidal, , 
123687, 4443, 2001, 653, 88, cbc0e461-3693-4f21-821a-0cf4142643d0, , transisi, transisi_ruku_ke_iktidal, , 
123727, 4136, 2637, 570, 88, cbc0e461-3693-4f21-821a-0cf4142643d0, , transisi, transisi_ruku_ke_iktidal, , 
123767, 3271, 2744, 1226, 88, cbc0e461-3693-4f21-821a-0cf4142643d0, , transisi, transisi_ruku_ke_iktidal, , 
123807, 2049, 3751, 1096, 88, cbc0e461-3693-4f21-821a-0cf4142643d0, , transisi, transisi_ruku_ke_iktidal, , 
123847, 2557, 4969, 730, 88, cbc0e461-3693-4f21-821a-0cf4142643d0, , transisi, transisi_ruku_ke_iktidal, , 
123888, 2924, 5398, 1006, 88, cbc0e461-3693-4f21-821a-0cf4142643d0, , transisi, transisi_ruku_ke_iktidal, , 
123928, 2707, 4838, 1556, 88, cbc0e461-3693-4f21-821a-0cf4142643d0, , transisi, transisi_ruku_ke_iktidal, , 
123968, 2503, 4119, 1623, 88, cbc0e461-3693-4f21-821a-0cf4142643d0, , transisi, transisi_ruku_ke_iktidal, , 
124008, 1593, 2279, 1532, 88, cbc0e461-3693-4f21-821a-0cf4142643d0, , transisi, transisi_ruku_ke_iktidal, , 
124048, 337, 1472, 1898, 88, cbc0e461-3693-4f21-821a-0cf4142643d0, , transisi, transisi_ruku_ke_iktidal, , 
124089, -931, -55, 1117, 88, cbc0e461-3693-4f21-821a-0cf4142643d0, , transisi, transisi_ruku_ke_iktidal, , 
124127, -1142, 355, 1237, 88, cbc0e461-3693-4f21-821a-0cf4142643d0, , transisi, transisi_ruku_ke_iktidal, , 
124165, -2004, -517, 1078, 88, cbc0e461-3693-4f21-821a-0cf4142643d0, , transisi, transisi_ruku_ke_iktidal, , 
124203, -2119, -747, 294, 88, cbc0e461-3693-4f21-821a-0cf4142643d0, , transisi, transisi_ruku_ke_iktidal, , 
124241, -2564, -1678, -695, 88, cbc0e461-3693-4f21-821a-0cf4142643d0, , transisi, transisi_ruku_ke_iktidal, , 
124279, -2976, -1975, -1122, 88, cbc0e461-3693-4f21-821a-0cf4142643d0, , transisi, transisi_ruku_ke_iktidal, , 
