88820, 3675, -402, -2113, 94, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
88855, 3910, -434, -2025, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
88890, 4024, -258, -1950, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
88926, 3958, -455, -2053, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
88961, 4150, -625, -1650, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
88997, 4469, -526, -1265, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
89032, 4468, -276, -942, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
89068, 4478, 26, -1169, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
89103, 4270, -219, -1189, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
89139, 3997, -177, -1310, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
89174, 3901, -35, -1391, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
89210, 4358, -432, -450, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
89251, 4737, -580, -1953, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
89292, 4769, -1300, -1787, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
89333, 4334, -1086, -1581, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
89374, 4112, -1043, -1632, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
89416, 4255, -838, -1429, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
89457, 4064, -613, -1647, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
89498, 3623, -599, -1372, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
89539, 3338, -373, -1235, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
89580, 3192, -235, -1485, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
89622, 3253, -235, -1241, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
89662, 3104, -225, -1074, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
89702, 3118, -259, -751, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
89742, 3341, -161, -449, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
89782, 3992, -212, -375, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
89823, 4286, -169, -219, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
