74356, 3455, -657, -2159, 75, 3b59f56d-ee0c-4999-bb75-32d7c253e690, , transisi, transisi_ruku_ke_iktidal, , 
74392, 3411, -583, -2187, 75, 3b59f56d-ee0c-4999-bb75-32d7c253e690, , transisi, transisi_ruku_ke_iktidal, , 
74428, 3484, -641, -2089, 75, 3b59f56d-ee0c-4999-bb75-32d7c253e690, , transisi, transisi_ruku_ke_iktidal, , 
74464, 3576, -620, -2119, 75, 3b59f56d-ee0c-4999-bb75-32d7c253e690, , transisi, transisi_ruku_ke_iktidal, , 
74500, 3708, -609, -2066, 75, 3b59f56d-ee0c-4999-bb75-32d7c253e690, , transisi, transisi_ruku_ke_iktidal, , 
74537, 3712, -669, -1983, 75, 3b59f56d-ee0c-4999-bb75-32d7c253e690, , transisi, transisi_ruku_ke_iktidal, , 
74573, 3639, -622, -2012, 75, 3b59f56d-ee0c-4999-bb75-32d7c253e690, , transisi, transisi_ruku_ke_iktidal, , 
74609, 3718, -607, -1975, 75, 3b59f56d-ee0c-4999-bb75-32d7c253e690, , transisi, transisi_ruku_ke_iktidal, , 
74645, 3709, -583, -1859, 75, 3b59f56d-ee0c-4999-bb75-32d7c253e690, , transisi, transisi_ruku_ke_iktidal, , 
74681, 3771, -547, -1843, 75, 3b59f56d-ee0c-4999-bb75-32d7c253e690, , transisi, transisi_ruku_ke_iktidal, , 
74718, 3863, -552, -1762, 75, 3b59f56d-ee0c-4999-bb75-32d7c253e690, , transisi, transisi_ruku_ke_iktidal, , 
74761, 3929, -440, -1529, 75, 3b59f56d-ee0c-4999-bb75-32d7c253e690, , transisi, transisi_ruku_ke_iktidal, , 
74804, 3903, -169, -2371, 75, 3b59f56d-ee0c-4999-bb75-32d7c253e690, , transisi, transisi_ruku_ke_iktidal, , 
74847, 4095, -229, -1234, 75, 3b59f56d-ee0c-4999-bb75-32d7c253e690, , transisi, transisi_ruku_ke_iktidal, , 
74890, 4289, -414, -1055, 75, 3b59f56d-ee0c-4999-bb75-32d7c253e690, , transisi, transisi_ruku_ke_iktidal, , 
74933, 4244, -537, -1259, 75, 3b59f56d-ee0c-4999-bb75-32d7c253e690, , transisi, transisi_ruku_ke_iktidal, , 
74976, 3947, -285, -1582, 75, 3b59f56d-ee0c-4999-bb75-32d7c253e690, , transisi, transisi_ruku_ke_iktidal, , 
75019, 4797, -574, -1310, 75, 3b59f56d-ee0c-4999-bb75-32d7c253e690, , transisi, transisi_ruku_ke_iktidal, , 
75062, 5561, -794, -629, 75, 3b59f56d-ee0c-4999-bb75-32d7c253e690, , transisi, transisi_ruku_ke_iktidal, , 
75105, 5205, -1163, -1010, 75, 3b59f56d-ee0c-4999-bb75-32d7c253e690, , transisi, transisi_ruku_ke_iktidal, , 
75149, 5036, -910, -1918, 75, 3b59f56d-ee0c-4999-bb75-32d7c253e690, , transisi, transisi_ruku_ke_iktidal, , 
75184, 4472, -270, -1854, 75, 3b59f56d-ee0c-4999-bb75-32d7c253e690, , transisi, transisi_ruku_ke_iktidal, , 
75220, 3746, 270, -1163, 75, 3b59f56d-ee0c-4999-bb75-32d7c253e690, , transisi, transisi_ruku_ke_iktidal, , 
