264332, 3232, -1496, -2108, 82, 77f359d6-dc60-4c38-bdb8-8f3e156a7982, , transisi, transisi_ruku_ke_iktidal, , 
264369, 3267, -1472, -2093, 82, 77f359d6-dc60-4c38-bdb8-8f3e156a7982, , transisi, transisi_ruku_ke_iktidal, , 
264408, 3321, -1513, -2056, 82, 77f359d6-dc60-4c38-bdb8-8f3e156a7982, , transisi, transisi_ruku_ke_iktidal, , 
264447, 3346, -1406, -2083, 82, 77f359d6-dc60-4c38-bdb8-8f3e156a7982, , transisi, transisi_ruku_ke_iktidal, , 
264486, 3467, -1361, -2005, 82, 77f359d6-dc60-4c38-bdb8-8f3e156a7982, , transisi, transisi_ruku_ke_iktidal, , 
264525, 3746, -1232, -1860, 82, 77f359d6-dc60-4c38-bdb8-8f3e156a7982, , transisi, transisi_ruku_ke_iktidal, , 
264565, 3797, -1289, -1684, 82, 77f359d6-dc60-4c38-bdb8-8f3e156a7982, , transisi, transisi_ruku_ke_iktidal, , 
264604, 3633, -1639, -1773, 82, 77f359d6-dc60-4c38-bdb8-8f3e156a7982, , transisi, transisi_ruku_ke_iktidal, , 
264643, 3725, -1476, -1829, 82, 77f359d6-dc60-4c38-bdb8-8f3e156a7982, , transisi, transisi_ruku_ke_iktidal, , 
264682, 3578, -1140, -1855, 82, 77f359d6-dc60-4c38-bdb8-8f3e156a7982, , transisi, transisi_ruku_ke_iktidal, , 
264721, 3510, -989, -1706, 82, 77f359d6-dc60-4c38-bdb8-8f3e156a7982, , transisi, transisi_ruku_ke_iktidal, , 
264761, 3778, -831, -1522, 82, 77f359d6-dc60-4c38-bdb8-8f3e156a7982, , transisi, transisi_ruku_ke_iktidal, , 
264799, 3912, -823, -1281, 82, 77f359d6-dc60-4c38-bdb8-8f3e156a7982, , transisi, transisi_ruku_ke_iktidal, , 
264838, 3849, -812, -1356, 82, 77f359d6-dc60-4c38-bdb8-8f3e156a7982, , transisi, transisi_ruku_ke_iktidal, , 
264877, 3985, -1184, -1820, 82, 77f359d6-dc60-4c38-bdb8-8f3e156a7982, , transisi, transisi_ruku_ke_iktidal, , 
264915, 3700, -1484, -1841, 82, 77f359d6-dc60-4c38-bdb8-8f3e156a7982, , transisi, transisi_ruku_ke_iktidal, , 
264954, 3505, -1367, -1482, 82, 77f359d6-dc60-4c38-bdb8-8f3e156a7982, , transisi, transisi_ruku_ke_iktidal, , 
264993, 3409, -711, -988, 82, 77f359d6-dc60-4c38-bdb8-8f3e156a7982, , transisi, transisi_ruku_ke_iktidal, , 
265031, 3832, -762, -779, 82, 77f359d6-dc60-4c38-bdb8-8f3e156a7982, , transisi, transisi_ruku_ke_iktidal, , 
