150510, 2879, -964, -2869, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
150548, 3071, -851, -2800, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
150587, 3097, -952, -2746, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
150625, 3233, -1042, -2658, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
150663, 3085, -1003, -2555, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
150701, 2881, -1064, -2835, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
150739, 3228, -876, -2862, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
150778, 3108, -650, -2785, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
150818, 3141, -625, -2527, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
150858, 3136, -617, -2537, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
150898, 3257, -673, -2387, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
150938, 3219, -896, -2144, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
150978, 3225, -756, -2319, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
151018, 3275, -579, -2562, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
151058, 3418, -620, -2110, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
151098, 3372, -421, -2096, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
151138, 3310, -548, -2298, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
151179, 3275, -666, -2363, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
151222, 3730, -946, -2620, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
151266, 3863, -1376, -2488, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
151310, 3770, -1170, -2127, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
151353, 4432, -611, -2252, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
151397, 4227, -168, -2486, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
151441, 4473, -139, -1314, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
151485, 4691, 81, -602, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
151528, 4145, 65, -691, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
151572, 3785, 355, -664, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
151616, 3801, 442, -466, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
151660, 3981, 295, -295, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
151693, 4086, 701, -452, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
151727, 4301, 945, -531, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
151760, 4384, 987, -769, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
151794, 4422, 1141, -826, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
151828, 4440, 930, -549, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
151861, 4435, 1036, -524, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
151895, 4556, 1549, -523, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
151928, 4550, 1363, -395, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
151962, 4486, 1584, -410, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
151996, 4489, 1772, -441, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
152032, 4042, 2095, -414, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
152069, 3834, 2809, -217, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
152106, 3623, 2734, 162, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
152142, 3236, 3010, 381, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
152179, 2745, 3206, 608, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
152216, 2007, 3431, 607, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
152253, 1289, 3474, 1046, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
152289, 722, 3495, 1301, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
