116899, 3805, 1437, 114, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
116942, 3804, 1501, 25, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
116984, 4031, 1328, -125, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
117027, 4006, 1193, -183, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
117069, 3958, 1111, -320, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
117111, 3986, 1202, -319, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
117154, 3907, 1225, -376, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
117196, 3978, 1340, -289, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
117239, 3971, 1296, -211, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
117274, 3889, 1363, -123, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
117309, 3927, 1270, -50, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
117344, 3959, 1477, 46, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
117379, 4060, 1358, 82, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
117414, 3945, 1515, -27, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
117449, 4026, 1483, -198, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
117484, 3796, 1429, -266, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
117519, 3686, 1370, -253, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
117554, 3786, 1460, -141, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
117589, 3579, 1341, 45, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
117625, 3822, 1548, -252, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
117664, 3661, 1552, -46, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
117703, 3841, 1596, -341, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
117742, 3877, 1920, -265, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
117782, 3800, 2083, 25, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
117821, 3627, 1702, 42, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
117860, 3490, 1676, -213, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
117900, 3580, 1083, 61, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
117939, 3463, 1765, 122, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
117978, 3497, 1710, -106, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
118018, 3509, 1902, -512, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
118054, 3552, 2058, -146, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
118091, 3686, 1789, -511, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
118127, 3429, 1783, -111, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
118164, 3402, 1858, 316, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
118200, 3081, 1164, -478, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
118237, 3039, 817, -126, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
118273, 3780, 890, 192, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
118310, 3686, 1348, 137, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
118346, 3701, 1530, -556, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
118383, 3456, 1883, -49, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
118420, 2855, 2783, -476, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
118459, 2792, 1764, 90, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
118499, 3155, 1655, 447, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
118538, 3240, 1175, 541, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
118578, 3388, 999, 142, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
118617, 4294, 2041, 36, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
118657, 3957, 1169, -509, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
118696, 2741, 1902, 579, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
118736, 2192, 2672, 1057, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
118775, 2879, 2510, 900, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
118815, 3054, 1573, 1173, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
118861, 3770, 2140, 1344, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
118907, 3917, 2723, 1269, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
