269636, 3914, 1519, 639, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
269678, 3845, 1483, 750, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
269720, 3776, 1368, 781, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
269762, 3702, 1416, 750, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
269804, 3610, 1490, 769, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
269846, 3603, 1366, 833, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
269888, 3646, 1315, 888, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
269930, 3688, 1609, 752, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
269972, 3715, 1709, 766, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
270011, 3816, 1569, 970, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
270051, 3881, 1725, 990, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
270090, 4033, 1858, 1037, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
270130, 4058, 2275, 1192, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
270169, 4328, 2757, 1191, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
270209, 4520, 1802, 1884, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
270248, 3942, 1377, 1140, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
270288, 3771, 2521, 1338, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
270327, 3259, 2250, 949, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
270367, 2701, 1838, 1026, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
270402, 1747, 1898, -303, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
270437, 1058, 1144, 277, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
270472, 1412, 2147, 1267, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
