293406, 3860, 1506, 667, 88, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
293444, 3816, 1744, 579, 88, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
293481, 3946, 2020, 565, 89, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
293519, 4149, 2078, 624, 89, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
293556, 4181, 2212, 898, 89, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
293594, 4326, 2384, 1293, 89, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
293631, 4136, 2659, 1019, 89, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
293669, 4091, 2155, 893, 89, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
293706, 3330, 2103, 499, 89, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
293744, 3319, 2659, 14, 89, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
293781, 2164, 2875, -452, 89, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
293819, 1627, 1557, -144, 89, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
293856, 1387, 1242, 77, 89, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
293894, 1119, 1612, 152, 89, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
293932, 1622, 1296, 176, 89, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
293970, 1297, 1228, 582, 89, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
294008, 1675, 1415, 1154, 89, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
294046, 2094, 1768, 1353, 89, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
294084, 3357, 2975, 762, 89, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
294122, 2775, 4853, 1324, 89, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
294160, 2743, 1328, 1675, 89, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
294198, 2827, 2516, 1411, 89, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
294236, 3383, 2579, 78, 89, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
294274, 4364, 3668, 1123, 89, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
294312, 5288, 2520, 718, 89, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
294350, 5132, 2711, 441, 89, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
294388, 4107, 2045, 837, 89, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
294426, 2099, 2552, 719, 89, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
294465, 2353, 3038, 2008, 92, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
294504, 2872, 3034, 1877, 92, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
294543, 2331, 2431, 2445, 92, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
294582, 2230, 3392, 1964, 92, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
294621, 1923, 3599, 2347, 92, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
294660, 1323, 4084, 2781, 92, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
294700, 1686, 2711, 3080, 92, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
294739, 2337, 2434, 2417, 92, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
294778, 2921, 2132, 1765, 92, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
294817, 3546, 2596, 1947, 92, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
294856, 3345, 2846, 2034, 92, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
294895, 3278, 3740, 1774, 92, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
294935, 2630, 2694, 1955, 92, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
294973, 2076, 1174, 2120, 92, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
295011, 2141, 3492, 1338, 92, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
295049, 806, -491, 1829, 92, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
295087, 3023, 1771, 2136, 92, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
295125, 3505, 1119, 1757, 92, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
295163, 3419, -144, 1505, 92, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
295202, 4694, 1519, 1971, 92, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
295240, 4457, 491, 1375, 92, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
295278, 4110, 1976, 329, 92, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
295316, 4302, 646, -1668, 92, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
295354, 6708, 1970, -3435, 92, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
295392, 7395, 1252, 3603, 92, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
295431, 3661, 3629, 978, 92, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
295469, 2460, 1091, 1935, 94, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
295507, 4015, 1329, 1416, 94, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
295545, 3404, 2745, 1639, 94, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
295583, 3300, 2397, 1124, 94, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
295621, 2936, 2361, 814, 94, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
295659, 3321, 2028, 1319, 94, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
295697, 2969, 2886, 1693, 94, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
295735, 2856, 2249, 1226, 94, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
295773, 2648, 2572, 1766, 94, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
295811, 3020, 2326, 1488, 94, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
295849, 2826, 2479, 1638, 94, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
295887, 3034, 2306, 1614, 94, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
295925, 2926, 2401, 1508, 94, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
295965, 3053, 2426, 1471, 95, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
296005, 3277, 2318, 1489, 95, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
296046, 3128, 2351, 1442, 95, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
296086, 3232, 2262, 1365, 95, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
296127, 3246, 2116, 1360, 95, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
296167, 3222, 2171, 1322, 95, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
296208, 3283, 2060, 1302, 95, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
296248, 3469, 2081, 1309, 95, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
296289, 2703, 2567, 1065, 95, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
296329, 3294, 2534, 1210, 95, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
296370, 3252, 2416, 1161, 95, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
296410, 3208, 2424, 1135, 95, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
296451, 3264, 2251, 1149, 95, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
296488, 3252, 2215, 1157, 95, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
296525, 3256, 2392, 1064, 95, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
296562, 3229, 2314, 1113, 95, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
296599, 3291, 2268, 1072, 95, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
296636, 3406, 2304, 930, 95, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
296673, 3347, 2313, 883, 95, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
296710, 3349, 2302, 763, 95, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
296747, 3398, 2225, 800, 95, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
296784, 3390, 2231, 746, 95, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
296821, 3353, 2239, 731, 95, b32c7908-d800-47c8-9b44-1d77919a2eca, , transisi, transisi_iktidal_ke_sujud, , 
