130811, 3759, 1495, 530, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
130847, 3764, 1480, 597, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
130883, 3693, 1434, 584, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
130929, 3603, 1362, 400, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
130976, 3540, 1461, 292, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
131023, 3557, 1551, 283, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
131070, 3653, 1491, 304, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
131117, 3596, 1687, 315, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
131164, 3531, 1757, 102, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
131211, 3964, 1564, -91, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
131258, 4181, 1626, 19, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
131305, 4190, 1506, 158, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
131352, 3912, 1344, 97, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
131382, 3744, 851, -66, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
131413, 3623, 657, -50, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
131444, 3076, 1104, -1, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
131475, 2802, 991, 363, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
131506, 2498, 434, 792, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
131537, 2380, -1008, 1108, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
131568, 2755, -383, 807, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
131599, 2784, -87, 602, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
131630, 3425, 142, 437, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
131661, 5335, 2498, 2107, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
131692, 5019, 0, 1208, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
131731, 6134, 2237, -338, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
131770, 4779, 2795, 362, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
131809, 4842, 2040, -17, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
131848, 3904, -800, 555, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
