242816, 3927, 1589, 951, 93, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
242854, 4342, 1748, 900, 93, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
242892, 4366, 2183, 1032, 93, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
242931, 4916, 2370, 1158, 93, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
242969, 4691, 1899, 801, 93, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
243007, 3809, 1847, 819, 93, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
243045, 3117, 2261, 358, 93, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
243083, 2410, 1815, 519, 93, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
243121, 1694, 1635, 473, 93, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
243159, 1703, 1870, 433, 93, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
243197, 1261, 1747, 158, 93, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
243235, 411, 1300, 541, 93, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
243273, 730, 1197, 436, 93, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
243311, 1354, 1327, 773, 93, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
243349, 2501, 3061, 957, 93, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
243387, 2130, 2307, 1572, 93, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
243426, 2037, 3432, 1978, 93, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
243466, 2692, 424, 2420, 92, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
243506, 3964, 4486, 2876, 92, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
243546, 4247, 2745, 1381, 92, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
243586, 4637, 3397, 1808, 92, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
243627, 4036, 1463, 702, 92, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
243667, 3766, 2900, 517, 92, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
243707, 3502, 2679, 1385, 92, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
243747, 3560, 2438, 1537, 92, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
243788, 3430, 2694, 1840, 92, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
243828, 2396, 1967, 2795, 92, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
243868, 1987, 2692, 3045, 92, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
243908, 2511, 2071, 2610, 92, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
243949, 4818, 2097, 2901, 92, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
243986, 5434, 2864, 2747, 92, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
244023, 4073, 2510, 2594, 92, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
244060, 3028, 1728, 2950, 92, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
244097, 2024, 2046, 3497, 92, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
244134, 1313, 1330, 3190, 92, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
244171, 2261, 3392, 3360, 92, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
244208, 1652, 832, 2726, 92, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
244245, 1779, 2411, 1586, 92, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
244282, 2117, 1291, 2580, 92, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
244319, 2414, 1480, 1423, 92, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
244356, 3344, 303, 1705, 92, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
244393, 3983, 1460, 1720, 92, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
244431, 4100, 1121, 1290, 92, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
244469, 4578, 1199, -1427, 90, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
244507, 5287, -541, -1631, 90, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
244545, 13938, 5433, 284, 90, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
244584, -1292, 1623, 1694, 90, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
244622, 3251, 1996, 1169, 90, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
244660, 4087, 2010, 1830, 90, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
244699, 3660, 1456, 1357, 90, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
244737, 3000, 2806, 1963, 90, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
244775, 3633, 1480, 1990, 90, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
244814, 2546, 2347, 1708, 90, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
244852, 2837, 2362, 1828, 90, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
244890, 2677, 2781, 1718, 90, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
244929, 2917, 2251, 1865, 90, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
244968, 2662, 2434, 1659, 90, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
245007, 2927, 2494, 1861, 90, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
245047, 3098, 2131, 1785, 90, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
245086, 2896, 2198, 1622, 90, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
245126, 3097, 2271, 1717, 90, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
245165, 2924, 2387, 1532, 90, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
245205, 3007, 2392, 1534, 90, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
245244, 3023, 2447, 1578, 90, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
245284, 3019, 2398, 1586, 90, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
245323, 3153, 2210, 1480, 90, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
245363, 3014, 2327, 1462, 90, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
245402, 3191, 2272, 1491, 90, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
245442, 3156, 2138, 1432, 90, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
245483, 3235, 2192, 1351, 90, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
245524, 3325, 2076, 1341, 90, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
