356519, 4022, 1046, 494, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
356555, 3895, 1095, 597, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
356591, 3907, 914, 537, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
356628, 3882, 963, 518, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
356664, 3982, 1218, 352, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
356700, 3933, 1286, 543, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
356737, 3957, 834, 806, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
356773, 4043, 927, 761, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
356809, 4040, 1081, 773, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
356846, 3902, 1232, 796, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
356882, 4171, 1027, 962, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
356919, 3828, 1013, 865, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
356957, 3805, 1110, 557, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
356996, 3789, 993, 697, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
357035, 3863, 844, 819, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
357074, 3953, 863, 936, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
357113, 3956, 827, 926, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
357152, 3963, 822, 932, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
357191, 3990, 756, 917, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
357230, 4038, 906, 913, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
357269, 4197, 988, 817, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
357308, 4340, 1381, 623, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
357350, 4329, 1318, 709, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
357392, 4290, 1305, 488, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
357434, 4388, 1169, 753, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
357476, 4166, 1014, 1243, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
357518, 4226, 1317, 764, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
357560, 4069, 2749, 436, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
357602, 3543, 1449, 889, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
357644, 2766, 1081, 506, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
357686, 1784, 630, 995, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
357728, 1234, 1259, 561, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
357770, 1955, 2692, 306, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
357804, 2497, 2531, 366, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
357839, 2322, 1181, 1237, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
357874, 2498, 1002, 1428, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
357909, 2934, 243, 2521, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
357944, 3302, 1442, 1627, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
357979, 2860, 2712, 2379, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
358014, 1825, 2414, 1913, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
358049, 2591, 1195, 1582, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
358084, 2724, 1888, 2086, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
358119, 2987, 1377, 2515, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
358157, 3527, 1603, 2897, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
358196, 4136, 2398, 3325, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
358235, 3843, 2358, 3797, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
