202160, 4039, 794, 583, 82, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
202195, 4071, 1112, 613, 82, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
202230, 3991, 834, 611, 82, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
202265, 3957, 1077, 393, 82, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
202301, 3997, 1245, 492, 82, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
202336, 3926, 899, 892, 82, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
202371, 3890, 1113, 807, 82, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
202407, 4005, 1138, 831, 82, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
202442, 3910, 969, 732, 82, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
202477, 3884, 916, 718, 82, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
202513, 3947, 1067, 837, 82, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
202550, 3907, 845, 849, 82, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
202588, 3936, 842, 899, 82, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
202626, 3949, 818, 995, 82, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
202664, 4070, 939, 1081, 82, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
202702, 3883, 1202, 936, 82, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
202739, 3935, 1057, 834, 82, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
202777, 3868, 676, 1086, 82, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
202815, 3823, 893, 1108, 82, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
202853, 3822, 741, 1212, 82, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
202891, 3892, 823, 1158, 82, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
202928, 3863, 814, 1077, 82, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
202965, 3877, 640, 1088, 82, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
203003, 3992, 722, 1036, 82, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
203040, 3924, 746, 1046, 82, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
203077, 3924, 624, 1096, 82, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
203115, 3931, 869, 793, 82, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
203152, 4167, 1373, 917, 82, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
203189, 4035, 1005, 1031, 82, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
203227, 4473, 842, 936, 82, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
203264, 4424, 983, 594, 82, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
203302, 5280, 1042, 923, 82, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
203342, 5358, 1001, 1453, 82, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
203382, 4961, 473, 1265, 82, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
203422, 4427, 1156, 1263, 82, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
203462, 2617, 2547, 80, 82, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
203503, 761, 1772, -174, 82, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
203543, 322, 2785, 381, 82, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
203583, 2044, 3134, 27, 82, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
203623, 2180, 757, -113, 82, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
203663, 2419, 881, 472, 82, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
203704, 2029, 860, 797, 82, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
203743, 2167, 1075, -691, 83, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
203783, 5222, 3646, 1141, 83, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
203822, 4409, 1095, 3130, 83, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
203862, 3475, 141, 3016, 83, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
203902, 2834, 864, 1536, 83, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
203941, 3090, 1126, 1867, 83, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
203981, 2213, 1963, 1152, 83, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
204021, 4279, 1259, 1472, 83, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
204060, 4467, 860, 1402, 83, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
204100, 5533, 1103, 2225, 83, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
204140, 4611, 1371, 864, 83, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
204176, 4255, 1736, 1027, 83, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
204212, 3557, 1376, 1091, 83, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
204248, 3559, 1412, 1732, 83, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
204284, 3458, 1209, 1993, 83, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
204321, 3034, 915, 2336, 83, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
204357, 2390, 1303, 2670, 83, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
204393, 2030, 1542, 3030, 83, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
204429, 2191, 620, 2364, 83, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
204465, 2386, 2545, 2202, 83, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
204502, 5379, 2132, 3026, 83, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
204547, 5344, -86, 3844, 83, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
