93836, 3628, 651, -913, 114, 717aee78-b7ea-4bcf-96ad-96230899019d, , transisi, transisi_iktidal_ke_sujud, , 
93872, 3662, 533, -671, 114, 717aee78-b7ea-4bcf-96ad-96230899019d, , transisi, transisi_iktidal_ke_sujud, , 
93909, 3436, 338, -690, 114, 717aee78-b7ea-4bcf-96ad-96230899019d, , transisi, transisi_iktidal_ke_sujud, , 
93946, 3410, 371, -519, 114, 717aee78-b7ea-4bcf-96ad-96230899019d, , transisi, transisi_iktidal_ke_sujud, , 
93983, 3605, 333, -264, 114, 717aee78-b7ea-4bcf-96ad-96230899019d, , transisi, transisi_iktidal_ke_sujud, , 
94024, 3656, 511, -271, 114, 717aee78-b7ea-4bcf-96ad-96230899019d, , transisi, transisi_iktidal_ke_sujud, , 
94065, 3210, 631, -401, 114, 717aee78-b7ea-4bcf-96ad-96230899019d, , transisi, transisi_iktidal_ke_sujud, , 
94106, 3063, 736, -504, 114, 717aee78-b7ea-4bcf-96ad-96230899019d, , transisi, transisi_iktidal_ke_sujud, , 
94147, 2905, 721, -519, 114, 717aee78-b7ea-4bcf-96ad-96230899019d, , transisi, transisi_iktidal_ke_sujud, , 
94189, 3484, 379, -437, 114, 717aee78-b7ea-4bcf-96ad-96230899019d, , transisi, transisi_iktidal_ke_sujud, , 
94230, 3809, 1203, -348, 114, 717aee78-b7ea-4bcf-96ad-96230899019d, , transisi, transisi_iktidal_ke_sujud, , 
94271, 4437, 895, 1531, 114, 717aee78-b7ea-4bcf-96ad-96230899019d, , transisi, transisi_iktidal_ke_sujud, , 
94312, 3401, 969, 1022, 114, 717aee78-b7ea-4bcf-96ad-96230899019d, , transisi, transisi_iktidal_ke_sujud, , 
94353, 3073, 912, 1253, 114, 717aee78-b7ea-4bcf-96ad-96230899019d, , transisi, transisi_iktidal_ke_sujud, , 
94395, 3037, 1862, 1067, 114, 717aee78-b7ea-4bcf-96ad-96230899019d, , transisi, transisi_iktidal_ke_sujud, , 
94430, 3130, 1917, 1294, 114, 717aee78-b7ea-4bcf-96ad-96230899019d, , transisi, transisi_iktidal_ke_sujud, , 
94465, 5354, 4290, 1584, 114, 717aee78-b7ea-4bcf-96ad-96230899019d, , transisi, transisi_iktidal_ke_sujud, , 
94500, 2931, 2933, -2053, 114, 717aee78-b7ea-4bcf-96ad-96230899019d, , transisi, transisi_iktidal_ke_sujud, , 
94535, 4870, 1944, -344, 114, 717aee78-b7ea-4bcf-96ad-96230899019d, , transisi, transisi_iktidal_ke_sujud, , 
94570, 4962, 1870, 738, 114, 717aee78-b7ea-4bcf-96ad-96230899019d, , transisi, transisi_iktidal_ke_sujud, , 
94605, 5448, 1261, 1994, 114, 717aee78-b7ea-4bcf-96ad-96230899019d, , transisi, transisi_iktidal_ke_sujud, , 
94640, 3743, 2131, 1194, 114, 717aee78-b7ea-4bcf-96ad-96230899019d, , transisi, transisi_iktidal_ke_sujud, , 
94675, 3535, 1475, 1555, 114, 717aee78-b7ea-4bcf-96ad-96230899019d, , transisi, transisi_iktidal_ke_sujud, , 
94710, 3296, 1326, 1571, 114, 717aee78-b7ea-4bcf-96ad-96230899019d, , transisi, transisi_iktidal_ke_sujud, , 
94745, 3392, 1268, 1183, 114, 717aee78-b7ea-4bcf-96ad-96230899019d, , transisi, transisi_iktidal_ke_sujud, , 
94780, 3332, 998, 1626, 114, 717aee78-b7ea-4bcf-96ad-96230899019d, , transisi, transisi_iktidal_ke_sujud, , 
94822, 3577, 1176, 1387, 117, 717aee78-b7ea-4bcf-96ad-96230899019d, , transisi, transisi_iktidal_ke_sujud, , 
94864, 3189, 831, 1472, 117, 717aee78-b7ea-4bcf-96ad-96230899019d, , transisi, transisi_iktidal_ke_sujud, , 
94906, 3529, 169, 1817, 117, 717aee78-b7ea-4bcf-96ad-96230899019d, , transisi, transisi_iktidal_ke_sujud, , 
94948, 2893, -205, 2126, 117, 717aee78-b7ea-4bcf-96ad-96230899019d, , transisi, transisi_iktidal_ke_sujud, , 
94990, 3241, -597, 3531, 117, 717aee78-b7ea-4bcf-96ad-96230899019d, , transisi, transisi_iktidal_ke_sujud, , 
95032, 2880, -352, 2596, 117, 717aee78-b7ea-4bcf-96ad-96230899019d, , transisi, transisi_iktidal_ke_sujud, , 
95074, 3220, -643, -899, 117, 717aee78-b7ea-4bcf-96ad-96230899019d, , transisi, transisi_iktidal_ke_sujud, , 
