409307, 4100, 716, -175, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
409346, 4071, 681, -99, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
409384, 4080, 710, -105, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
409423, 4076, 661, -159, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
409461, 4058, 787, -241, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
409499, 4036, 710, -368, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
409538, 4055, 851, -251, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
409576, 3994, 818, -498, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
409615, 4022, 483, -403, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
409656, 4073, 629, -210, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
409698, 4020, 623, -480, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
409740, 3883, 574, -549, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
409782, 3863, 486, -594, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
409824, 3776, 528, -612, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
409866, 3651, 635, -694, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
409908, 3507, 494, -630, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
409950, 3687, 567, -407, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
409992, 3787, 421, -492, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
410034, 3858, 856, -562, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
410068, 3308, 696, -564, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
410103, 3699, 294, -215, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
410138, 4203, 568, 128, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
410173, 4218, 412, 503, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
410208, 4099, 371, 295, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
410242, 4029, 612, 35, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
410277, 3701, 884, -30, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
410312, 3636, 463, 4, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
410347, 4077, 623, 709, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
